id,income,car
9343,-148985,0
8469,-96316,0
1758,-52446,0
1995,-33570.33333,0.33
9090,-17797,0
9421,-16762.4,0.2
5739,-14338,0.5
2548,-10033,0.2
6491,-2088,0.17
162,5233.5,0.25
6516,17449.6,0
7945,17856.4,0
5614,18509,0.25
6310,20067.25,0.25
5650,22339.75,0.25
12621,24235,1
7954,28890.25,0
8852,31203.75,0.25
8290,31933,0
4834,34303.5,0
13556,35040.8,0.2
1264,35274.5,0.25
8112,36043.5,0
6971,36782.25,0.25
7624,38687,0
6591,38768.42857,0.14
4807,40731.75,0.25
9405,42548.66667,0
7535,42566,0
3164,43004,0
6067,43493.5,0
8006,43577.28571,0
4208,46350,0
7625,46519.4,0
9604,47262.33333,0
2862,48109.8,0.2
815,48597,0.5
7740,48840,0
4396,49196.5,0
7585,50009,0.33
7936,50019.4,0
7952,50110.66667,0
4304,50225,0.5
7826,50515,0.33
5651,52332.5,0
5643,52423,0.2
4181,52500,0
479,52509,0
13117,53477,0
12565,53615,0
1288,53639.33333,0
1658,54963.66667,0
8144,55161.5,0
7128,55229,0
3535,55286.8,0
3145,55347,0
8060,56405.33333,0
5800,56525.33333,0.33
9451,57268.66667,0
7664,57393.2,0.2
8682,57444.4,0.2
6209,57580.8,0.4
5688,57921.5,0.5
4064,58028,0.2
5462,58394,0
7663,59072,0
5687,59076.4,0.2
7653,59086.66667,0
7662,59527.75,0
7750,59553.75,0.25
7993,59815.5,0
1862,60000.75,0.25
7622,60545.33333,0
182,60721.5,0.5
7127,60750.2,0.4
6611,60813.25,0
4067,61221,0
34,61266.8,0.2
8504,61393.57143,0.14
5929,61417.66667,0
1235,62189,0
7655,62213.5,0
6280,62840,0
7525,62923.8,0
4122,63056,0
8484,63368.66667,0
6210,63560,0
12686,63561,0
7587,63951.33333,0.33
4805,64006.5,0
7610,64160,0
2313,64179.25,0
6649,64226,0.33
399,64250,0.25
4926,64252.57143,0
8119,64761.25,0
5573,64899.4,0
1608,65424,0
9611,65801.8,0.2
11420,65824.42857,0
6199,66076.16667,0.17
6302,66191.14286,0
7665,66597.125,0
7771,66739,0
3606,67057.6,0.4
6098,67490.33333,0.33
7941,67908.66667,0
7453,68149,0
617,68311.33333,0
5735,68510.75,0.25
5780,68857.83333,0
5926,69026.66667,0
5778,69063,0.25
6567,69134.33333,0
146,69159.33333,0
6493,69240.85714,0.14
7435,69514.5,0
7660,69517,0
9420,69584.16667,0
4649,69596,0
2885,69756.5,0
4053,69878,0
6897,70088.5,0
12603,70122,0
3239,70341.5,0
4404,70812,0
7948,70939,0
