id,income,car,scooter
1,192478.8,0.2,0.4
2,184906.5,0,0
3,185846,0,0.25
4,166019.5,0,0
5,533453,0,1
6,500634.5,0,0.5
7,339052,0,0.5
8,494548.5,0.25,0.25
9,353915,0.333333333,0.333333333
10,258877.4,0,0.6
11,458964.6667,0,0.333333333
12,392129,0.5,0.5
13,303262.5,0,0
14,446677,0,0
15,307275.6,0.2,0.4
16,219799,0,0
17,307846.3333,0.333333333,0.333333333
18,715093.5,0.5,0.5
19,433206,0,1
20,683287,1,0
21,478660,0,1
22,619854,0,1
23,972187,1,0
24,216707,0,0
25,210102,0,0.5
26,381488.75,0,0.25
27,169054,0,0
28,264497,0,0
29,479081,0.333333333,0
30,282131.6667,0.333333333,0.333333333
31,406203.6667,0.333333333,0
32,303995,0.25,0
33,244722,0,0
34,214457.5,0.5,0
35,127231.6667,0,0.333333333
36,195764.75,0,0.5
37,356549.6667,0.166666667,0.166666667
38,375407.5,0,0
39,802589.5,0.5,0.5
40,740657.5,0.5,0
41,192281,0,0
42,92168,0,1
43,298091.6,0.2,0.4
44,424389,0,0.5
45,157068,0,0
46,211411,0,0
47,484851.4,0.2,0.2
48,343648.25,0.25,0.75
49,692465.6667,0.333333333,0.333333333
50,196405,0.25,0
51,693657,1,1
52,359888,0.25,0.5
53,294313.6667,0.166666667,0.166666667
54,531344.25,0.25,0.5
55,309031,0,0.75
56,109990.3333,0,0
57,182899.5,0.25,0
58,192770.4,0.2,0.4
59,736419,1,1
60,787818,0.5,1
61,940335.5,0.5,0.5
62,263182,0,0
63,278489,0,0
64,297526.8333,0.166666667,0.166666667
65,261779.6667,0,0.333333333
66,272754.25,0,0.25
67,184228.8333,0.166666667,0.166666667
68,351544.6,0.2,0.4
69,412312.3333,0,0.333333333
70,284321,0,0
71,579122.5,0,0.5
72,165195.75,0.25,0.25
73,241043.2,0.2,0.4
74,241144,0,0
75,382267.2,0.2,0.2
76,561758.25,0.25,0.25
77,437216.5,0.166666667,0.166666667
78,261377,0,0
79,348072.5,0,0
80,202137,0,0.2
81,219505.6667,0.333333333,0.333333333
82,694228,0,0
83,339385,0,0.333333333
84,366451,0.5,0.25
85,345521.5,0.25,0
86,758048.3333,0.333333333,0.333333333
87,1350066,0.5,0
88,347090,0.5,0
89,545709,0.25,0.75
90,247493.25,0.25,0.25
91,351407,0.333333333,0
92,920359,0.5,0
93,437859.5,0,0.5
94,960925,1,0
95,307705,0,0.5
96,347130,0.25,0.5
97,375667.5,0.25,0.25
98,236803.5,0.25,0.5
99,220522,0,0.5
100,343587.25,0.25,0.5
101,175228,0,0.333333333
102,140632.5,0,0.166666667
103,411323,0,0.25
104,462022.75,0.25,0.25
105,414726.25,0.25,0.25
106,260094,0,0.666666667
107,485593,0,0
108,344704,0.25,0.25
109,527505,0,0
110,203617.5,0,0
111,548657.25,0.25,0.5
112,274801,0.2,0.2
113,358752.6,0.2,0.6
114,197653.6,0.2,0.4
115,223632.2,0,0.2
116,590231,0.5,0.5
117,244465.75,0.25,0
118,273916.25,0.25,0.25
119,289439,0,0.25
120,265116.25,0.25,0.5
121,277622.6667,0,0.333333333
122,276531,0.25,0.25
123,295212.75,0.25,0.25
124,173648.6667,0.333333333,1
125,319858.8,0.2,0.4
126,198258,0.142857143,0.428571429
127,164010.2,0.2,0.4
128,631621.5,0.5,0.5
129,217653.25,0.25,0.25
130,183344,0,0.4
131,276017.5,0.25,0.5
132,276540.3333,0,0.666666667
133,231566.8333,0.166666667,0.5
134,322288,0,1
135,210169,0.333333333,0
136,282903,0.25,1
137,780582,0,0
138,249493.5,0,0.25
139,310210,0,0.666666667
140,271863.5,0,0.5
141,382875.8,0.2,0.8
142,324643,0,0.666666667
143,164561,0,0
144,179614.3333,0.333333333,0.666666667
145,386491,0,0.5
146,209181,0,0.333333333
147,174931,0,0.333333333
148,260398.1667,0,0.5
149,438481.6667,0.333333333,0.333333333
150,416912.3333,0.333333333,0.333333333
151,458446.5,0.5,0.5
152,219798,0.333333333,0.333333333
153,209786.75,0.25,0.25
154,309482.2,0.4,0.4
155,239215.75,0.25,0.5
156,276490,0.166666667,0.333333333
157,199254.5714,0.142857143,0.428571429
158,326588.3333,0.166666667,0.333333333
159,135577,0,0.25
160,211368.8,0.2,0.2
161,199534.3333,0,0.5
162,422697,0,1
163,227082.3333,0,0.333333333
164,283242,0.25,1
165,198236,0.2,0.4
166,412419.25,0.25,0.75
167,322342,0,0.666666667
168,396622,0.5,1
169,292896.25,0,0.5
170,193816,0.2,0.4
171,206283.75,0,0.5
172,573159.3333,0.666666667,0.333333333
173,434994.4,0,0.2
174,338751,0.166666667,0.5
175,404091.5,0,0.5
176,266992,0,0.333333333
177,186378.5,0,0.25
178,264568,0,0.5
179,269788.5,0.166666667,0.833333333
180,122997,0.25,0.25
181,124882.2,0.2,0.2
182,256137,0,0.666666667
183,240838.25,0.25,0.25
184,178111.25,0,0.25
185,275665.7143,0.142857143,0.142857143
186,104413.75,0,0.25
187,397661.8333,0.333333333,0.166666667
188,145779.5,0,0.166666667
189,138242,0.333333333,0.666666667
190,937397,0.5,0
191,411067.6,0.4,0
192,387712.1667,0.166666667,0.5
193,206326,0,0.25
194,1132095,1,0
195,206209.2,0.2,0.6
196,250993.8,0.4,0.4
197,271619.5,0,0.5
198,256622.75,0,0.25
199,230002.4,0,0.2
200,837330,0.5,0.5
201,514114.75,0.25,0.25
202,271365.3333,0.333333333,0.333333333
203,662906,0.5,0.5
204,509432,0,1
205,254554,0.25,0.5
206,75566.5,0.5,0.5
207,434119,0,0.5
208,377059,0,0.5
209,172630.4,0.2,0.2
210,317162.75,0.5,0.5
211,380607,0.25,0.5
212,382698.5,0.5,0.5
213,216345.75,0,0.5
214,432209,0.25,0.75
215,414686.5,0.5,0
216,813388,1,0
217,356933.75,0.25,0
218,276666.25,0,0.25
219,364968.75,0.25,0
220,903328,0,0
221,241235,0.333333333,0.5
222,707122.5,0.5,0.5
223,209930.3333,0.166666667,0.166666667
224,425590.6667,0,1
225,393381.2,0.4,0.6
226,156828.6,0,0.2
227,438402,0,0
228,319393,0.25,0.25
229,246953.25,0.25,0.25
230,535686,0.5,0.5
231,239125,0,0
232,472067,0,1
233,659473,1,1
234,187368,0.25,0.75
235,521312,1,0
236,297651.75,0.25,0.25
237,317399,0.333333333,0.333333333
238,572956,0,1
239,359226.6667,0.333333333,0.333333333
240,288795,0,0.5
241,328159,0,0.2
242,159123.2,0,0.2
243,103283.1667,0,0
244,305671,0,0.5
245,193012,0,0
246,790087,0,0
247,465102.5,0.25,0.5
248,84138.375,0,0.125
249,240035,0.2,0.2
250,228833,0,0.25
251,270426.8,0.4,0.2
252,1310577,0.5,0.5
253,225089.6,0,0.4
254,236607.1667,0.166666667,0.166666667
255,234980.4,0.2,0
256,226994.6667,0.333333333,0.333333333
