city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Taipei,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Taoyuan,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Taichung,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Tainan,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Kaohsiung,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Yilan,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Hsinchu,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Miaoli,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
Changhua,13.74607491,14.05439022,14.36270554,14.67102085,14.97933616,15.28765148,15.59596679,15.90428211,16.21259742,16.52091274,16.82922805,17.13754336,17.44585868,17.75417399,18.06248931,18.37080462,18.67911994,18.98743525,19.29575056,19.60406588,19.78353493,19.96300398,20.14247302,20.32194207,20.50141112,20.68088017,20.86034922,21.03981827,21.21928731,21.39875636,21.57822541,21.75769446,21.93716351,22.11663256,22.29610161
