city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Taipei,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Taoyuan,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Taichung,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Tainan,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Kaohsiung,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Yilan,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Hsinchu,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Miaoli,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
Changhua,2.670063468,2.679923378,2.689783287,2.699643197,2.709503106,2.719363015,2.729222925,2.739082834,2.748942744,2.758802653,2.768662562,2.778522472,2.788382381,2.798242291,2.8081022,2.817962109,2.827822019,2.837681928,2.847541838,2.857401747,2.867704615,2.878007483,2.88831035,2.898613218,2.908916086,2.919218954,2.929521822,2.939824689,2.950127557,2.960430425,2.970733293,2.981036161,2.991339028,3.001641896,3.011944764
