city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Taipei,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Taoyuan,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Taichung,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Tainan,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Kaohsiung,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Yilan,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Hsinchu,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Miaoli,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Changhua,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Nantou,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Yunlin,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Chiayi,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Pingtung,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Taitung,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Hualien,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Penghu,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Keelung,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
HsinchuCity,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
ChiayiCity,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Kinmen,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
Matsu,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
total,5.410341192,5.458944102,5.507547011,5.556149921,5.60475283,5.65335574,5.70195865,5.750561559,5.799164469,5.847767378,5.896370288,5.944973197,5.993576107,6.042179016,6.090781926,6.139384835,6.187987745,6.236590655,6.285193564,6.333796474,6.378912803,6.424029132,6.46914546,6.514261789,6.559378118,6.604494447,6.649610776,6.694727105,6.739843434,6.784959763,6.830076092,6.875192421,6.92030875,6.965425079,7.010541408
