city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Taipei,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Taoyuan,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Taichung,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Tainan,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Kaohsiung,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Yilan,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Hsinchu,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Miaoli,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
Changhua,108.5545465,110.8503532,113.1461598,115.4419665,117.7377732,120.0335799,122.3293865,124.6251932,126.9209999,129.2168066,131.5126133,133.8084199,136.1042266,138.4000333,140.69584,142.9916467,145.2874533,147.58326,149.8790667,152.1748734,154.0275436,155.8802138,157.732884,159.5855542,161.4382244,163.2908946,165.1435648,166.996235,168.8489052,170.7015754,172.5542456,174.4069158,176.259586,178.1122562,179.9649264
