city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,11.6,11.83333333,11.98888889,12.3,12.56195838,12.75751394,12.95306949,13.14862504,13.3441806,13.53973615,13.75575473,13.97177331,14.1877919,14.40381048,14.61982906,14.73678769,14.85374632,14.97070496,15.08766359,15.20462222,15.33132741,15.45803259,15.58473778,15.71144296,15.83814815,15.86775216,15.89735618,15.92696019,15.95656421,15.98616822,16.02141332,16.05665841,16.09190351,16.12714861,16.1623937
Taipei,11.2,11.3,11.32222222,11.9,12.15343941,12.34263544,12.53183146,12.72102748,12.9102235,13.09941953,13.30841311,13.5174067,13.72640029,13.93539388,14.14438746,14.25754256,14.37069766,14.48385276,14.59700786,14.71016296,14.83274765,14.95533235,15.07791704,15.20050173,15.32308642,15.3517277,15.38036899,15.40901027,15.43765155,15.46629283,15.50039175,15.53449066,15.56858957,15.60268849,15.6367874
Taoyuan,14.8,16.16666667,17.45555556,15.7,16.03436965,16.2839812,16.53359276,16.78320432,17.03281588,17.28242744,17.55815848,17.83388951,18.10962055,18.38535158,18.66108262,18.81037128,18.95965994,19.1089486,19.25823726,19.40752593,19.56925531,19.73098469,19.89271407,20.05444346,20.21617284,20.25396008,20.29174732,20.32953456,20.3673218,20.40510903,20.45009668,20.49508432,20.54007196,20.5850596,20.63004724
Taichung,11.2,11.3,11.32222222,11.9,12.15343941,12.34263544,12.53183146,12.72102748,12.9102235,13.09941953,13.30841311,13.5174067,13.72640029,13.93539388,14.14438746,14.25754256,14.37069766,14.48385276,14.59700786,14.71016296,14.83274765,14.95533235,15.07791704,15.20050173,15.32308642,15.3517277,15.38036899,15.40901027,15.43765155,15.46629283,15.50039175,15.53449066,15.56858957,15.60268849,15.6367874
Tainan,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Kaohsiung,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Yilan,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Hsinchu,14,15.06666667,16.05555556,14.8,15.11520196,15.35050457,15.58580719,15.82110981,16.05641242,16.29171504,16.55163984,16.81156464,17.07148943,17.33141423,17.59133903,17.73206974,17.87280046,18.01353117,18.15426188,18.29499259,18.44745086,18.59990914,18.75236741,18.90482568,19.05728395,19.09290504,19.12852613,19.16414723,19.19976832,19.23538941,19.27779814,19.32020687,19.36261561,19.40502434,19.44743307
Miaoli,14.8,16.16666667,17.45555556,15.7,16.03436965,16.2839812,16.53359276,16.78320432,17.03281588,17.28242744,17.55815848,17.83388951,18.10962055,18.38535158,18.66108262,18.81037128,18.95965994,19.1089486,19.25823726,19.40752593,19.56925531,19.73098469,19.89271407,20.05444346,20.21617284,20.25396008,20.29174732,20.32953456,20.3673218,20.40510903,20.45009668,20.49508432,20.54007196,20.5850596,20.63004724
Changhua,11.5,11.7,11.82222222,12.2,12.45982864,12.65379431,12.84775998,13.04172565,13.23569132,13.42965699,13.64391933,13.85818166,14.07244399,14.28670633,14.50096866,14.61697641,14.73298416,14.84899191,14.96499966,15.08100741,15.20668247,15.33235753,15.45803259,15.58370765,15.70938272,15.73874605,15.76810938,15.79747271,15.82683604,15.85619938,15.89115793,15.92611648,15.96107503,15.99603358,16.03099213
Nantou,13.6,14.53333333,15.38888889,14.4,14.70668299,14.93562607,15.16456916,15.39351224,15.62245533,15.85139842,16.10429822,16.35719802,16.61009783,16.86299763,17.11589744,17.25282462,17.38975179,17.52667897,17.66360615,17.80053333,17.94887111,18.09720889,18.24554667,18.39388444,18.54222222,18.57688058,18.61153894,18.6461973,18.68085566,18.71551402,18.75677657,18.79803912,18.83930167,18.88056422,18.92182677
Yunlin,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Chiayi,12.8,13.46666667,14.05555556,13.6,13.88964504,14.10586907,14.32209309,14.53831712,14.75454115,14.97076517,15.20961499,15.4484648,15.68731462,15.92616443,16.16501425,16.29433436,16.42365447,16.55297459,16.6822947,16.81161481,16.9517116,17.0918084,17.23190519,17.37200198,17.51209877,17.54483166,17.57756456,17.61029745,17.64303034,17.67576324,17.71473343,17.75370361,17.7926738,17.83164399,17.87061417
Pingtung,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Taitung,13.9,14.93333333,15.88888889,14.7,15.01307222,15.24678495,15.48049768,15.71421042,15.94792315,16.18163588,16.43980443,16.69797298,16.95614153,17.21431008,17.47247863,17.61225846,17.75203829,17.89181812,18.03159795,18.17137778,18.32280593,18.47423407,18.62566222,18.77709037,18.92851852,18.96389893,18.99927934,19.03465974,19.07004015,19.10542056,19.14754275,19.18966493,19.23178712,19.27390931,19.3160315
Hualien,14.8,16.16666667,17.45555556,15.7,16.03436965,16.2839812,16.53359276,16.78320432,17.03281588,17.28242744,17.55815848,17.83388951,18.10962055,18.38535158,18.66108262,18.81037128,18.95965994,19.1089486,19.25823726,19.40752593,19.56925531,19.73098469,19.89271407,20.05444346,20.21617284,20.25396008,20.29174732,20.32953456,20.3673218,20.40510903,20.45009668,20.49508432,20.54007196,20.5850596,20.63004724
Penghu,14.4,15.63333333,16.78888889,15.3,15.62585067,15.8691027,16.11235473,16.35560676,16.59885879,16.84211082,17.11081686,17.3795229,17.64822894,17.91693498,18.18564103,18.33112615,18.47661128,18.62209641,18.76758154,18.91306667,19.07067556,19.22828444,19.38589333,19.54350222,19.70111111,19.73793562,19.77476012,19.81158463,19.84840914,19.88523364,19.9290751,19.97291656,20.01675802,20.06059948,20.10444094
Keelung,11.7,11.96666667,12.15555556,12.4,12.66408813,12.86123356,13.058379,13.25552443,13.45266987,13.6498153,13.86759013,14.08536497,14.3031398,14.52091463,14.73868946,14.85659897,14.97450849,15.09241801,15.21032752,15.32823704,15.45597235,15.58370765,15.71144296,15.83917827,15.96691358,15.99675828,16.02660298,16.05644768,16.08629237,16.11613707,16.15166871,16.18720035,16.22273199,16.25826363,16.29379528
HsinchuCity,11.7,11.96666667,12.15555556,12.4,12.66408813,12.86123356,13.058379,13.25552443,13.45266987,13.6498153,13.86759013,14.08536497,14.3031398,14.52091463,14.73868946,14.85659897,14.97450849,15.09241801,15.21032752,15.32823704,15.45597235,15.58370765,15.71144296,15.83917827,15.96691358,15.99675828,16.02660298,16.05644768,16.08629237,16.11613707,16.15166871,16.18720035,16.22273199,16.25826363,16.29379528
ChiayiCity,11.4,11.53333333,11.58888889,12,12.25556916,12.44635506,12.63714097,12.82792687,13.01871278,13.20949868,13.42024852,13.63099835,13.84174819,14.05249803,14.26324786,14.37735385,14.49145983,14.60556581,14.71967179,14.83377778,14.95739259,15.08100741,15.20462222,15.32823704,15.45185185,15.48073382,15.50961578,15.53849775,15.56737972,15.59626168,15.63064714,15.6650326,15.69941806,15.73380352,15.76818898
Kinmen,14.4,15.63333333,16.78888889,15.3,15.62585067,15.8691027,16.11235473,16.35560676,16.59885879,16.84211082,17.11081686,17.3795229,17.64822894,17.91693498,18.18564103,18.33112615,18.47661128,18.62209641,18.76758154,18.91306667,19.07067556,19.22828444,19.38589333,19.54350222,19.70111111,19.73793562,19.77476012,19.81158463,19.84840914,19.88523364,19.9290751,19.97291656,20.01675802,20.06059948,20.10444094
