city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,9.3,9.466666667,9.577777778,9.8,10.00871481,10.1645233,10.32033179,10.47614028,10.63194877,10.78775726,10.95986962,11.13198199,11.30409436,11.47620672,11.64831909,11.74150564,11.83469219,11.92787875,12.0210653,12.11425185,12.21520395,12.31615605,12.41710815,12.51806025,12.61901235,12.64259928,12.66618622,12.68977316,12.7133601,12.73694704,12.7650285,12.79310996,12.82119141,12.84927287,12.87735433
Taipei,9.6,9.866666667,10.07777778,10.1,10.31510404,10.47568218,10.63626031,10.79683845,10.95741659,11.11799472,11.29537584,11.47275695,11.65013806,11.82751917,12.00490028,12.10093949,12.19697869,12.29301789,12.38905709,12.4850963,12.58913877,12.69318123,12.7972237,12.90126617,13.00530864,13.02961763,13.05392662,13.07823561,13.10254459,13.12685358,13.15579468,13.18473577,13.21367687,13.24261796,13.27155906
Taoyuan,9.8,10.16666667,10.47777778,10.4,10.62149327,10.78684105,10.95218884,11.11753662,11.28288441,11.44823219,11.63088205,11.81353191,11.99618176,12.17883162,12.36148148,12.46037333,12.55926519,12.65815704,12.75704889,12.85594074,12.96307358,13.07020642,13.17733926,13.2844721,13.39160494,13.41663598,13.44166701,13.46669805,13.49172909,13.51676012,13.54656086,13.57636159,13.60616232,13.63596305,13.66576378
Taichung,9.1,9.2,9.244444444,9.6,9.804455324,9.957084048,10.10971277,10.2623415,10.41497022,10.56759894,10.73619881,10.90479868,11.07339855,11.24199842,11.41059829,11.50188308,11.59316786,11.68445265,11.77573744,11.86702222,11.96591407,12.06480593,12.16369778,12.26258963,12.36148148,12.38458705,12.40769263,12.4307982,12.45390377,12.47700935,12.50451771,12.53202608,12.55953445,12.58704281,12.61455118
Tainan,10.1,10.53333333,10.91111111,10.6,10.82575275,10.9942803,11.16280785,11.3313354,11.49986295,11.6683905,11.85455286,12.04071521,12.22687757,12.41303992,12.59920228,12.6999959,12.80078952,12.90158313,13.00237675,13.10317037,13.21236346,13.32155654,13.43074963,13.53994272,13.6491358,13.67464821,13.70016061,13.72567301,13.75118542,13.77669782,13.80707164,13.83744546,13.86781929,13.89819311,13.92856693
Kaohsiung,9.8,10.16666667,10.47777778,10.4,10.62149327,10.78684105,10.95218884,11.11753662,11.28288441,11.44823219,11.63088205,11.81353191,11.99618176,12.17883162,12.36148148,12.46037333,12.55926519,12.65815704,12.75704889,12.85594074,12.96307358,13.07020642,13.17733926,13.2844721,13.39160494,13.41663598,13.44166701,13.46669805,13.49172909,13.51676012,13.54656086,13.57636159,13.60616232,13.63596305,13.66576378
Yilan,10.7,11.36666667,11.97777778,11.3,11.54066095,11.72031768,11.89997441,12.07963114,12.25928786,12.43894459,12.63740069,12.83585678,13.03431288,13.23276898,13.43122507,13.53867487,13.64612467,13.75357447,13.86102427,13.96847407,14.08487802,14.20128198,14.31768593,14.43408988,14.55049383,14.57769101,14.6048882,14.63208538,14.65928257,14.68647975,14.71885939,14.75123903,14.78361867,14.81599831,14.84837795
Hsinchu,10.2,10.66666667,11.07777778,10.7,10.9278825,11.09799993,11.26811736,11.43823479,11.60835222,11.77846966,11.96638826,12.15430687,12.34222547,12.53014407,12.71806268,12.81980718,12.92155168,13.02329618,13.12504068,13.22678519,13.3370084,13.4472316,13.55745481,13.66767802,13.77790123,13.80365432,13.82940741,13.85516049,13.88091358,13.90666667,13.93732703,13.9679874,13.99864777,14.02930814,14.0599685
Miaoli,10.7,11.36666667,11.97777778,11.3,11.54066095,11.72031768,11.89997441,12.07963114,12.25928786,12.43894459,12.63740069,12.83585678,13.03431288,13.23276898,13.43122507,13.53867487,13.64612467,13.75357447,13.86102427,13.96847407,14.08487802,14.20128198,14.31768593,14.43408988,14.55049383,14.57769101,14.6048882,14.63208538,14.65928257,14.68647975,14.71885939,14.75123903,14.78361867,14.81599831,14.84837795
Changhua,10.4,10.96666667,11.47777778,11,11.23427173,11.40915881,11.58404589,11.75893296,11.93382004,12.10870712,12.30189447,12.49508182,12.68826917,12.88145652,13.07464387,13.17924103,13.28383818,13.38843533,13.49303248,13.59762963,13.71094321,13.82425679,13.93757037,14.05088395,14.16419753,14.19067267,14.2171478,14.24362294,14.27009807,14.29657321,14.32809321,14.35961322,14.39113322,14.42265322,14.45417323
Nantou,10.5,11.1,11.64444444,11.1,11.33640147,11.51287843,11.68935539,11.86583236,12.04230932,12.21878628,12.41372988,12.60867348,12.80361708,12.99856067,13.19350427,13.29905231,13.40460034,13.51014838,13.61569641,13.72124444,13.83558815,13.94993185,14.06427556,14.17861926,14.29296296,14.31967878,14.3463946,14.37311042,14.39982624,14.42654206,14.45834861,14.49015515,14.5219617,14.55376825,14.5855748
Yunlin,10.7,11.36666667,11.97777778,11.3,11.54066095,11.72031768,11.89997441,12.07963114,12.25928786,12.43894459,12.63740069,12.83585678,13.03431288,13.23276898,13.43122507,13.53867487,13.64612467,13.75357447,13.86102427,13.96847407,14.08487802,14.20128198,14.31768593,14.43408988,14.55049383,14.57769101,14.6048882,14.63208538,14.65928257,14.68647975,14.71885939,14.75123903,14.78361867,14.81599831,14.84837795
Chiayi,10.7,11.36666667,11.97777778,11.3,11.54066095,11.72031768,11.89997441,12.07963114,12.25928786,12.43894459,12.63740069,12.83585678,13.03431288,13.23276898,13.43122507,13.53867487,13.64612467,13.75357447,13.86102427,13.96847407,14.08487802,14.20128198,14.31768593,14.43408988,14.55049383,14.57769101,14.6048882,14.63208538,14.65928257,14.68647975,14.71885939,14.75123903,14.78361867,14.81599831,14.84837795
Pingtung,9.9,10.3,10.64444444,10.5,10.72362301,10.89056068,11.05749834,11.22443601,11.39137368,11.55831135,11.74271745,11.92712356,12.11152967,12.29593577,12.48034188,12.58018462,12.68002735,12.77987009,12.87971282,12.97955556,13.08771852,13.19588148,13.30404444,13.41220741,13.52037037,13.54564209,13.57091381,13.59618553,13.62145725,13.64672897,13.67681625,13.70690352,13.7369908,13.76707808,13.79716535
Taitung,11.5,12.46666667,13.37777778,12.2,12.45982864,12.65379431,12.84775998,13.04172565,13.23569132,13.42965699,13.64391933,13.85818166,14.07244399,14.28670633,14.50096866,14.61697641,14.73298416,14.84899191,14.96499966,15.08100741,15.20668247,15.33235753,15.45803259,15.58370765,15.70938272,15.73874605,15.76810938,15.79747271,15.82683604,15.85619938,15.89115793,15.92611648,15.96107503,15.99603358,16.03099213
Hualien,10.5,11.1,11.64444444,11.1,11.33640147,11.51287843,11.68935539,11.86583236,12.04230932,12.21878628,12.41372988,12.60867348,12.80361708,12.99856067,13.19350427,13.29905231,13.40460034,13.51014838,13.61569641,13.72124444,13.83558815,13.94993185,14.06427556,14.17861926,14.29296296,14.31967878,14.3463946,14.37311042,14.39982624,14.42654206,14.45834861,14.49015515,14.5219617,14.55376825,14.5855748
Penghu,11.5,12.46666667,13.37777778,12.2,12.45982864,12.65379431,12.84775998,13.04172565,13.23569132,13.42965699,13.64391933,13.85818166,14.07244399,14.28670633,14.50096866,14.61697641,14.73298416,14.84899191,14.96499966,15.08100741,15.20668247,15.33235753,15.45803259,15.58370765,15.70938272,15.73874605,15.76810938,15.79747271,15.82683604,15.85619938,15.89115793,15.92611648,15.96107503,15.99603358,16.03099213
Keelung,10.2,10.66666667,11.07777778,10.7,10.9278825,11.09799993,11.26811736,11.43823479,11.60835222,11.77846966,11.96638826,12.15430687,12.34222547,12.53014407,12.71806268,12.81980718,12.92155168,13.02329618,13.12504068,13.22678519,13.3370084,13.4472316,13.55745481,13.66767802,13.77790123,13.80365432,13.82940741,13.85516049,13.88091358,13.90666667,13.93732703,13.9679874,13.99864777,14.02930814,14.0599685
HsinchuCity,10.5,11.1,11.64444444,11.1,11.33640147,11.51287843,11.68935539,11.86583236,12.04230932,12.21878628,12.41372988,12.60867348,12.80361708,12.99856067,13.19350427,13.29905231,13.40460034,13.51014838,13.61569641,13.72124444,13.83558815,13.94993185,14.06427556,14.17861926,14.29296296,14.31967878,14.3463946,14.37311042,14.39982624,14.42654206,14.45834861,14.49015515,14.5219617,14.55376825,14.5855748
ChiayiCity,11.1,11.9,12.64444444,11.7,11.94917993,12.13519618,12.32121244,12.5072287,12.69324496,12.87926121,13.0847423,13.29022339,13.49570449,13.70118558,13.90666667,14.01792,14.12917333,14.24042667,14.35168,14.46293333,14.58345778,14.70398222,14.82450667,14.94503111,15.06555556,15.09371547,15.12187539,15.15003531,15.17819522,15.20635514,15.23988096,15.27340678,15.30693261,15.34045843,15.37398425
Kinmen,10.3,10.83333333,11.31111111,10.9,11.13214198,11.30543918,11.47873638,11.65203357,11.82533077,11.99862797,12.19005907,12.38149017,12.57292127,12.76435237,12.95578348,13.05942974,13.16307601,13.26672228,13.37036855,13.47401481,13.58629827,13.69858173,13.81086519,13.92314864,14.0354321,14.06166655,14.087901,14.11413546,14.14036991,14.16660436,14.19783782,14.22907128,14.26030474,14.2915382,14.32277165
Matsu,7.4,6.9,6.344444444,7.8,7.966119951,8.090130789,8.214141628,8.338152466,8.462163304,8.586174142,8.723161536,8.86014893,8.997136324,9.134123717,9.271111111,9.34528,9.419448889,9.493617778,9.567786667,9.641955556,9.722305185,9.802654815,9.883004444,9.963354074,10.0437037,10.06247698,10.08125026,10.10002354,10.11879682,10.13757009,10.15992064,10.18227119,10.20462174,10.22697229,10.24932283
total,9.6,9.866666667,10.07777778,10.1,10.31510404,10.47568218,10.63626031,10.79683845,10.95741659,11.11799472,11.29537584,11.47275695,11.65013806,11.82751917,12.00490028,12.10093949,12.19697869,12.29301789,12.38905709,12.4850963,12.58913877,12.69318123,12.7972237,12.90126617,13.00530864,13.02961763,13.05392662,13.07823561,13.10254459,13.12685358,13.15579468,13.18473577,13.21367687,13.24261796,13.27155906
