city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Taipei,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Taoyuan,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Taichung,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Tainan,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Kaohsiung,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Yilan,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Hsinchu,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Miaoli,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Changhua,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Nantou,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Yunlin,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Chiayi,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Pingtung,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Taitung,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Hualien,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Penghu,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
Keelung,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
HsinchuCity,10.92,11.35,11.78,12.21,12.65,13.08,13.51,13.94,14.37,14.80,15.23,15.66,16.09,16.52,16.95,17.38,17.81,18.25,18.68,19.11,19.28,19.46,19.63,19.81,19.98,20.16,20.33,20.51,20.68,20.86,21.03,21.21,21.38,21.56,21.73
