city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,10.78202794,10.87655122,10.93956674,11.06559779,11.2562075,11.43143606,11.60666462,11.78189318,11.95712174,12.1323503,12.32591486,12.51947943,12.71304399,12.90660855,13.10017312,13.2049745,13.30977589,13.41457727,13.51937866,13.62418004,13.73771487,13.85124971,13.96478454,14.07831938,14.19185421,14.21838104,14.24490787,14.2714347,14.29796153,14.32448836,14.35606991,14.38765146,14.41923301,14.45081456,14.48239611
Taipei,10.69918892,10.74761922,10.76454176,10.92731885,11.10530525,11.27818467,11.45106409,11.62394352,11.79682294,11.96970236,12.16067197,12.35164158,12.54261119,12.7335808,12.92455041,13.02794682,13.13134322,13.23473962,13.33813602,13.44153243,13.5535452,13.66555797,13.77757074,13.88958351,14.00159628,14.02776749,14.0539387,14.0801099,14.10628111,14.13245232,14.16361048,14.19476864,14.22592681,14.25708497,14.28824313
Taoyuan,10.78750631,10.88518625,10.95135843,11.07506777,11.28181432,11.45744151,11.6330687,11.80869588,11.98432307,12.15995026,12.35395517,12.54796007,12.74196497,12.93596988,13.12997478,13.23501458,13.34005438,13.44509418,13.55013398,13.65517377,13.76896689,13.88276,13.99655312,14.11034623,14.22413935,14.25072653,14.2773137,14.30390088,14.33048805,14.35707523,14.38872862,14.42038202,14.45203541,14.48368881,14.5153422
Taichung,10.7924515,10.89429048,10.9646217,11.08754488,11.31650592,11.49267317,11.66884041,11.84500765,12.02117489,12.19734214,12.39194361,12.58654508,12.78114655,12.97574802,13.17034949,13.27571228,13.38107508,13.48643788,13.59180067,13.69716347,13.8113065,13.92544952,14.03959255,14.15373558,14.26787861,14.29454754,14.32121648,14.34788541,14.37455434,14.40122327,14.432974,14.46472473,14.49647546,14.52822619,14.55997691
Tainan,10.79393422,10.89570379,10.9659656,11.08733664,11.31468244,11.4908213,11.66696016,11.84309901,12.01923787,12.19537672,12.38994684,12.58451695,12.77908706,12.97365718,13.16822729,13.27357311,13.37891893,13.48426474,13.58961056,13.69495638,13.80908102,13.92320565,14.03733029,14.15145493,14.26557956,14.2922442,14.31890883,14.34557347,14.3722381,14.39890274,14.43064835,14.46239396,14.49413957,14.52588519,14.5576308
Kaohsiung,10.79218529,10.89376584,10.96383864,11.08676961,11.31087046,11.48694997,11.66302949,11.839109,12.01518851,12.19126803,12.38577259,12.58027715,12.77478171,12.96928627,13.16379083,13.26910116,13.37441149,13.47972181,13.58503214,13.69034247,13.80442865,13.91851484,14.03260103,14.14668722,14.2607734,14.28742905,14.3140847,14.34074036,14.36739601,14.39405166,14.42578658,14.45752149,14.48925641,14.52099133,14.55272624
Yilan,10.79899685,10.9040132,10.9775218,11.097077,11.33006635,11.50644469,11.68282304,11.85920138,12.03557972,12.21195806,12.40679272,12.60162738,12.79646204,12.9912967,13.18613135,13.2916204,13.39710946,13.50259851,13.60808756,13.71357661,13.82785641,13.94213622,14.05641602,14.17069583,14.28497563,14.31167652,14.33837741,14.3650783,14.39177919,14.41848008,14.45026885,14.48205763,14.5138464,14.54563518,14.57742395
Hsinchu,10.78820059,10.88750728,10.95530621,11.079948,11.28246977,11.45810717,11.63374456,11.80938195,11.98501934,12.16065673,12.35467291,12.54868909,12.74270526,12.93672144,13.13073761,13.23578351,13.34082942,13.44587532,13.55092122,13.65596712,13.76976684,13.88356657,13.9973663,14.11116602,14.22496575,14.25155447,14.27814319,14.30473191,14.33132063,14.35790935,14.38956459,14.42121982,14.45287505,14.48453029,14.51618552
Miaoli,10.79932976,10.90494667,10.97905582,11.09887867,11.33333178,11.50976095,11.68619013,11.8626193,12.03904848,12.21547766,12.41036847,12.60525928,12.80015009,12.9950409,13.18993171,13.29545117,13.40097062,13.50649007,13.61200953,13.71752898,13.83184172,13.94615446,14.06046721,14.17477995,14.28909269,14.31580127,14.34250986,14.36921844,14.39592703,14.42263561,14.45443355,14.48623149,14.51802942,14.54982736,14.5816253
Changhua,10.79832578,10.90320465,10.97657576,11.09666455,11.32907385,11.50543674,11.68179964,11.85816253,12.03452542,12.21088831,12.4057059,12.60052349,12.79534108,12.99015867,13.18497626,13.29045607,13.39593589,13.5014157,13.60689551,13.71237532,13.82664511,13.9409149,14.0551847,14.16945449,14.28372429,14.31042284,14.33712139,14.36381994,14.39051849,14.41721704,14.44900303,14.48078902,14.51257501,14.544361,14.57614699
