city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,9.164055881,9.226649554,9.268378669,9.3518369,9.590540149,9.739838795,9.889137441,10.03843609,10.18773473,10.33703338,10.50195471,10.66687604,10.83179737,10.9967187,11.16164003,11.25093315,11.34022627,11.42951939,11.51881251,11.60810563,11.70483985,11.80157406,11.89830827,11.99504249,12.0917767,12.11437815,12.1369796,12.15958106,12.18218251,12.20478396,12.23169214,12.25860033,12.28550851,12.3124167,12.33932488
Taipei,8.998377841,8.996441342,8.973640285,9.158246383,9.410395965,9.556890255,9.703384546,9.849878837,9.996373128,10.14286742,10.30469094,10.46651447,10.628338,10.79016152,10.95198505,11.03960093,11.12721681,11.21483269,11.30244857,11.39006445,11.48498165,11.57989886,11.67481606,11.76973326,11.86465047,11.88682738,11.9090043,11.93118122,11.95335813,11.97553505,12.00193781,12.02834056,12.05474331,12.08114607,12.10754882
Taoyuan,9.175012613,9.242025612,9.288174053,9.365094877,9.590701142,9.740002295,9.889303447,10.0386046,10.18790575,10.3372069,10.502131,10.6670551,10.8319792,10.9969033,11.1618274,11.25112202,11.34041664,11.42971126,11.51900587,11.60830049,11.70503633,11.80177217,11.89850801,11.99524384,12.09197968,12.11458151,12.13718334,12.15978517,12.18238701,12.20498884,12.23189747,12.25880611,12.28571475,12.31262338,12.33953202
Taichung,9.184903006,9.257738658,9.309709752,9.382562837,9.588917982,9.738191376,9.887464769,10.03673816,10.18601156,10.33528495,10.50017838,10.66507182,10.82996525,10.99485869,11.15975212,11.24903014,11.33830816,11.42758618,11.51686419,11.60614221,11.70286006,11.79957791,11.89629576,11.99301362,12.08973147,12.1123291,12.13492673,12.15752436,12.18012198,12.20271961,12.22962325,12.25652688,12.28343051,12.31033415,12.33723778
Tainan,9.18786845,9.260606921,9.312480835,9.382271295,9.58750269,9.736754051,9.886005412,10.03525677,10.18450813,10.3337595,10.49862859,10.66349769,10.82836679,10.99323588,11.15810498,11.24736982,11.33663466,11.4258995,11.51516434,11.60442918,11.70113276,11.79783633,11.89453991,11.99124349,12.08794706,12.11054136,12.13313565,12.15572994,12.17832424,12.20091853,12.22781819,12.25471786,12.28161752,12.30851718,12.33541685
Kaohsiung,9.184370572,9.256844431,9.308453733,9.381477458,9.590237331,9.739531263,9.888825195,10.03811913,10.18741306,10.33670699,10.50162311,10.66653924,10.83145536,10.99637148,11.16128761,11.25057791,11.33986821,11.42915851,11.51844881,11.60773911,11.70447027,11.80120143,11.89793259,11.99466375,12.09139491,12.11399564,12.13659638,12.15919712,12.18179786,12.2043986,12.23130593,12.25821327,12.2851206,12.31202794,12.33893527
Yilan,9.197993706,9.275277677,9.331697091,9.395907795,9.598882071,9.748310579,9.897739086,10.04716759,10.1965961,10.34602461,10.51108939,10.67615417,10.84121895,11.00628373,11.17134851,11.2607193,11.35009008,11.43946087,11.52883166,11.61820245,11.7150208,11.81183916,11.90865751,12.00547586,12.10229422,12.12491533,12.14753644,12.17015755,12.19277866,12.21539977,12.24233136,12.26926295,12.29619454,12.32312613,12.35005772
Hsinchu,9.17640118,9.245691622,9.294117506,9.371927206,9.597987337,9.747401915,9.896816494,10.04623107,10.19564565,10.34506023,10.51010962,10.67515902,10.84020841,11.00525781,11.1703072,11.25966966,11.34903211,11.43839457,11.52775703,11.61711949,11.71392882,11.81073815,11.90754747,12.0043568,12.10116613,12.12378513,12.14640414,12.16902314,12.19164214,12.21426114,12.24119022,12.2681193,12.29504838,12.32197746,12.34890654
Miaoli,9.198659528,9.276784281,9.334044477,9.398430141,9.599954465,9.749399666,9.898844868,10.04829007,10.19773527,10.34718047,10.51226369,10.67734691,10.84243014,11.00751336,11.17259658,11.26197735,11.35135812,11.4407389,11.53011967,11.61950044,11.71632961,11.81315878,11.90998795,12.00681712,12.10364629,12.12626993,12.14889357,12.17151721,12.19414084,12.21676448,12.24369908,12.27063368,12.29756828,12.32450288,12.35143748
Changhua,9.196651552,9.27374305,9.32996999,9.395330374,9.598846926,9.748274886,9.897702846,10.04713081,10.19655877,10.34598673,10.5110509,10.67611508,10.84117925,11.00624343,11.1713076,11.26067807,11.35004853,11.43941899,11.52878945,11.61815991,11.71497791,11.81179591,11.90861391,12.00543191,12.10224991,12.12487093,12.14749196,12.17011299,12.19273402,12.21535504,12.24228654,12.26921803,12.29614952,12.32308101,12.3500125
Nantou,9.199235214,9.277494896,9.334890019,9.398834925,9.600089008,9.749536304,9.8989836,10.0484309,10.19787819,10.34732549,10.51241102,10.67749656,10.84258209,11.00766763,11.17275316,11.26213519,11.35151721,11.44089924,11.53028126,11.61966329,11.71649382,11.81332434,11.91015487,12.0069854,12.10381593,12.12643988,12.14906384,12.17168779,12.19431175,12.2169357,12.24387068,12.27080565,12.29774063,12.32467561,12.35161058
Yunlin,9.199054253,9.277230807,9.334542804,9.398585544,9.598353465,9.747773743,9.897194022,10.0466143,10.19603458,10.34545486,10.51051055,10.67556624,10.84062193,11.00567762,11.17073331,11.26009917,11.34946504,11.43883091,11.52819677,11.61756264,11.71437566,11.81118868,11.9080017,12.00481473,12.10162775,12.12424761,12.14686748,12.16948734,12.19210721,12.21472707,12.24165718,12.26858729,12.29551739,12.3224475,12.34937761
Chiayi,9.199138351,9.277577652,9.335152395,9.399373783,9.600195838,9.749644797,9.899093756,10.04854272,10.19799167,10.34744063,10.51252801,10.67761538,10.84270275,11.00779012,11.17287749,11.26226051,11.35164353,11.44102655,11.53040957,11.61979259,11.7166242,11.8134558,11.91028741,12.00711901,12.10395062,12.12657482,12.14919903,12.17182324,12.19444744,12.21707165,12.24400693,12.2709422,12.29787748,12.32481276,12.35174803
Pingtung,9.199569049,9.278133985,9.335834364,9.399750689,9.600140555,9.749588653,9.899036752,10.04848485,10.19793295,10.34738105,10.51246747,10.67755389,10.84264031,11.00772673,11.17281315,11.26219566,11.35157816,11.44096067,11.53034317,11.61972568,11.71655673,11.81338777,11.91021882,12.00704987,12.10388092,12.12650499,12.14912907,12.17175315,12.19437722,12.2170013,12.24393642,12.27087154,12.29780666,12.32474178,12.3516769
Taitung,9.199849189,9.278440301,9.336166855,9.399829216,9.600134394,9.749582396,9.899030399,10.0484784,10.1979264,10.34737441,10.51246072,10.67754704,10.84263335,11.00771967,11.17280598,11.26218843,11.35157088,11.44095333,11.53033577,11.61971822,11.71654921,11.81338019,11.91021118,12.00704216,12.10387315,12.12649721,12.14912127,12.17174533,12.1943694,12.21699346,12.24392856,12.27086366,12.29779877,12.32473387,12.35166898
Hualien,9.199687533,9.278218012,9.335883934,9.39964732,9.600143097,9.749591235,9.899039373,10.04848751,10.19793565,10.34738379,10.51247025,10.67755672,10.84264318,11.00772965,11.17281611,11.26219864,11.35158117,11.4409637,11.53034623,11.61972876,11.71655983,11.8133909,11.91022197,12.00705305,12.10388412,12.1265082,12.14913229,12.17175637,12.19438045,12.21700453,12.24393966,12.27087479,12.29780992,12.32474505,12.35168017
Penghu,9.2,9.278468276,9.336071994,9.399460709,9.600195838,9.749644797,9.899093756,10.04854272,10.19799167,10.34744063,10.51252801,10.67761538,10.84270275,11.00779012,11.17287749,11.26226051,11.35164353,11.44102655,11.53040957,11.61979259,11.7166242,11.8134558,11.91028741,12.00711901,12.10395062,12.12657482,12.14919903,12.17182324,12.19444744,12.21707165,12.24400693,12.2709422,12.29787748,12.32481276,12.35174803
Keelung,9.186293225,9.255334908,9.303512034,9.371180932,9.593279549,9.74262084,9.891962131,10.04130342,10.19064471,10.339986,10.50495444,10.66992288,10.83489132,10.99985975,11.16482819,11.25414682,11.34346544,11.43278407,11.52210269,11.61142132,11.70818316,11.80494501,11.90170685,11.9984687,12.09523054,12.11783845,12.14044636,12.16305426,12.18566217,12.20827008,12.23518595,12.26210182,12.28901769,12.31593356,12.34284943
HsinchuCity,9.191089368,9.264207612,9.316461299,9.383410613,9.598603824,9.748027999,9.897452175,10.04687635,10.19630053,10.3457247,10.5107847,10.67584469,10.84090469,11.00596468,11.17102468,11.26039288,11.34976107,11.43912927,11.52849747,11.61786567,11.71468121,11.81149676,11.90831231,12.00512785,12.1019434,12.12456386,12.14718431,12.16980477,12.19242522,12.21504568,12.24197649,12.26890729,12.2958381,12.32276891,12.34969972
ChiayiCity,9.196742137,9.272510963,9.327415232,9.39136236,9.59486786,9.744233876,9.893599893,10.04296591,10.19233193,10.34169794,10.50669369,10.67168944,10.8366852,11.00168095,11.1666767,11.25601011,11.34534352,11.43467694,11.52401035,11.61334376,11.71012163,11.80689949,11.90367736,12.00045522,12.09723309,12.11984474,12.14245639,12.16506804,12.18767969,12.21029134,12.23721167,12.264132,12.29105232,12.31797265,12.34489298
Kinmen,9.194394161,9.269012991,9.322767263,9.387912371,9.591757769,9.74107537,9.890392971,10.03971057,10.18902817,10.33834577,10.50328804,10.66823031,10.83317258,10.99811485,11.16305712,11.25236157,11.34166603,11.43097049,11.52027495,11.6095794,11.7063259,11.80307239,11.89981889,11.99656538,12.09331188,12.1159162,12.13852052,12.16112484,12.18372916,12.20633348,12.23324509,12.26015669,12.28706829,12.31397989,12.34089149
Matsu,9.192380952,9.269023261,9.324801013,9.393982808,9.600195838,9.749644797,9.899093756,10.04854272,10.19799167,10.34744063,10.51252801,10.67761538,10.84270275,11.00779012,11.17287749,11.26226051,11.35164353,11.44102655,11.53040957,11.61979259,11.7166242,11.8134558,11.91028741,12.00711901,12.10395062,12.12657482,12.14919903,12.17182324,12.19444744,12.21707165,12.24400693,12.2709422,12.29787748,12.32481276,12.35174803
