city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Taipei,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Taoyuan,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Taichung,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Tainan,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Kaohsiung,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Yilan,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Hsinchu,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Miaoli,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Changhua,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Nantou,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Yunlin,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Chiayi,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Pingtung,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Taitung,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
Hualien,26.05,26.30,26.56,26.82,27.08,27.34,27.60,27.86,28.12,28.38,28.64,28.90,29.16,29.42,29.68,29.94,30.20,30.46,30.72,30.98,31.12,31.26,31.40,31.54,31.68,31.82,31.97,32.11,32.25,32.39,32.53,32.67,32.81,32.95,33.10
