city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Taipei,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Taoyuan,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Taichung,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Tainan,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Kaohsiung,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Yilan,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Hsinchu,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Miaoli,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Changhua,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Nantou,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Yunlin,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Chiayi,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Pingtung,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Taitung,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Hualien,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Penghu,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Keelung,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
HsinchuCity,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
ChiayiCity,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Kinmen,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
Matsu,428.4650354,432.7338895,437.0027437,441.2715978,445.5404519,449.809306,454.0781602,458.3470143,462.6158684,466.8847226,471.1535767,475.4224308,479.691285,483.9601391,488.2289932,492.4978474,496.7667015,501.0355556,505.3044097,509.5732639,511.8988895,514.2245151,516.5501407,518.8757663,521.2013919,523.5270175,525.8526431,528.1782687,530.5038943,532.8295199,535.1551455,537.4807711,539.8063967,542.1320223,544.457648
