city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,22,22.46666667,22.77777778,23.4,23.47237113,23.54111866,23.6098662,23.67861373,23.74736126,23.81610879,23.88689977,23.95769075,24.02848173,24.09927271,24.17006369,24.24299061,24.31591753,24.38884444,24.46177136,24.53469828,24.60985928,24.68502028,24.76018128,24.83534228,24.91050328,24.98800263,25.06550197,25.14300131,25.22050066,25.298,25.37215423,25.44630846,25.52046268,25.59461691,25.66877114
Taipei,22.4,23.03333333,23.51111111,23.9,23.97391753,24.04413402,24.11435052,24.18456701,24.25478351,24.325,24.39730361,24.46960722,24.54191083,24.61421444,24.68651805,24.76100323,24.83548841,24.9099736,24.98445878,25.05894397,25.13571097,25.21247798,25.28924498,25.36601199,25.44277899,25.52193431,25.60108962,25.68024493,25.75940024,25.83855556,25.91429428,25.990033,26.06577171,26.14151043,26.21724915
Taoyuan,22.5,22.86666667,23.07777778,23.1,23.1714433,23.23930945,23.3071756,23.37504175,23.44290791,23.51077406,23.58065746,23.65054087,23.72042427,23.79030768,23.86019108,23.93218304,24.00417499,24.07616695,24.14815891,24.22015086,24.29434826,24.36854566,24.44274306,24.51694046,24.59113786,24.66764362,24.74414938,24.82065514,24.8971609,24.97366667,25.0468702,25.12007373,25.19327726,25.2664808,25.33968433
Taichung,22.4,22.76666667,22.97777778,23.1,23.1714433,23.23930945,23.3071756,23.37504175,23.44290791,23.51077406,23.58065746,23.65054087,23.72042427,23.79030768,23.86019108,23.93218304,24.00417499,24.07616695,24.14815891,24.22015086,24.29434826,24.36854566,24.44274306,24.51694046,24.59113786,24.66764362,24.74414938,24.82065514,24.8971609,24.97366667,25.0468702,25.12007373,25.19327726,25.2664808,25.33968433
Tainan,22.2,22.4,22.44444444,22.6,22.66989691,22.73629409,22.80269128,22.86908847,22.93548566,23.00188285,23.07025362,23.1386244,23.20699518,23.27536595,23.34373673,23.41417042,23.48460411,23.5550378,23.62547148,23.69590517,23.76849657,23.84108796,23.91367936,23.98627075,24.05886214,24.13371194,24.20856173,24.28341152,24.35826132,24.43311111,24.50473015,24.57634919,24.64796823,24.71958727,24.79120631
Kaohsiung,22.8,23.13333333,23.31111111,23,23.07113402,23.13870638,23.20627874,23.2738511,23.34142346,23.40899582,23.4785767,23.54815757,23.61773845,23.68731933,23.75690021,23.82858051,23.90026082,23.97194112,24.04362142,24.11530172,24.18917792,24.26305412,24.33693032,24.41080652,24.48468271,24.56085728,24.63703185,24.71320642,24.78938099,24.86555556,24.93844219,25.01132882,25.08421546,25.15710209,25.22998873
Yilan,22.7,23.33333333,23.81111111,23.9,23.97391753,24.04413402,24.11435052,24.18456701,24.25478351,24.325,24.39730361,24.46960722,24.54191083,24.61421444,24.68651805,24.76100323,24.83548841,24.9099736,24.98445878,25.05894397,25.13571097,25.21247798,25.28924498,25.36601199,25.44277899,25.52193431,25.60108962,25.68024493,25.75940024,25.83855556,25.91429428,25.990033,26.06577171,26.14151043,26.21724915
Hsinchu,22.4,22.36666667,22.17777778,21.9,21.96773196,22.0320726,22.09641323,22.16075387,22.22509451,22.28943515,22.35568824,22.42194134,22.48819444,22.55444754,22.62070064,22.68895275,22.75720486,22.82545698,22.89370909,22.96196121,23.0323042,23.10264718,23.17299017,23.24333316,23.31367615,23.38620759,23.45873902,23.53127046,23.6038019,23.67633333,23.74573408,23.81513484,23.88453559,23.95393634,24.02333709
Miaoli,21.6,21.76666667,21.77777778,22.5,22.56958763,22.63569102,22.70179442,22.76789781,22.83400121,22.9001046,22.96817285,23.03624111,23.10430936,23.17237761,23.24044586,23.31056789,23.38068993,23.45081196,23.520934,23.59105603,23.66332623,23.73559642,23.80786662,23.88013681,23.952407,24.0269256,24.1014442,24.1759628,24.2504814,24.325,24.39630214,24.46760428,24.53890643,24.61020857,24.68151071
Changhua,21.9,22.2,22.34444444,22.9,22.97082474,23.03810331,23.10538187,23.17266044,23.23993901,23.30721757,23.37649593,23.44577428,23.51505263,23.58433099,23.65360934,23.72497799,23.79634664,23.86771529,23.93908394,24.01045259,24.08400758,24.15756258,24.23111758,24.30467257,24.37822757,24.45407095,24.52991432,24.6057577,24.68160107,24.75744444,24.83001418,24.90258392,24.97515365,25.04772339,25.12029312
