city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Taipei,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Taoyuan,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Taichung,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Tainan,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Kaohsiung,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Yilan,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Hsinchu,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Miaoli,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
Changhua,4.86491521,4.902617893,4.940320577,4.978023261,5.015725944,5.053428628,5.091131312,5.128833995,5.166536679,5.204239362,5.241942046,5.27964473,5.317347413,5.355050097,5.392752781,5.430455464,5.468158148,5.505860831,5.543563515,5.581266199,5.621022172,5.660778145,5.700534118,5.740290091,5.780046064,5.819802037,5.85955801,5.899313983,5.939069956,5.978825929,6.018581902,6.058337875,6.098093848,6.137849821,6.177605794
