city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Taipei,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Taoyuan,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Taichung,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Tainan,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Kaohsiung,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Yilan,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Hsinchu,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Miaoli,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Changhua,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Nantou,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Yunlin,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Chiayi,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Pingtung,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Taitung,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Hualien,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Penghu,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Keelung,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
HsinchuCity,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
ChiayiCity,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
Kinmen,97.70275973,99.6181245,101.5334893,103.448854,105.3642188,107.2795836,109.1949484,111.1103131,113.0256779,114.9410427,116.8564074,118.7717722,120.687137,122.6025018,124.5178665,126.4332313,128.3485961,130.2639608,132.1793256,134.0946904,135.7272413,137.3597923,138.9923433,140.6248943,142.2574452,143.8899962,145.5225472,147.1550981,148.7876491,150.4202001,152.052751,153.685302,155.317853,156.9504039,158.5829549
