city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,10.2,10.4,10.53333333,10.8,11.03001224,11.20171955,11.37342687,11.54513418,11.7168415,11.88854881,12.07822367,12.26789852,12.45757337,12.64724822,12.83692308,12.93961846,13.04231385,13.14500923,13.24770462,13.3504,13.46165333,13.57290667,13.68416,13.79541333,13.90666667,13.93266044,13.95865421,13.98464798,14.01064174,14.03663551,14.06758243,14.09852934,14.12947625,14.16042317,14.19137008
Taipei,9.9,10,10.03333333,10.5,10.72362301,10.89056068,11.05749834,11.22443601,11.39137368,11.55831135,11.74271745,11.92712356,12.11152967,12.29593577,12.48034188,12.58018462,12.68002735,12.77987009,12.87971282,12.97955556,13.08771852,13.19588148,13.30404444,13.41220741,13.52037037,13.54564209,13.57091381,13.59618553,13.62145725,13.64672897,13.67681625,13.70690352,13.7369908,13.76707808,13.79716535
Taoyuan,13,14.2,15.33333333,13.8,14.09390453,14.31330832,14.53271211,14.7521159,14.97151969,15.19092348,15.43328579,15.67564811,15.91801042,16.16037273,16.40273504,16.53395692,16.6651788,16.79640068,16.92762256,17.05884444,17.20100148,17.34315852,17.48531556,17.62747259,17.76962963,17.80284389,17.83605815,17.86927241,17.90248667,17.93570093,17.97524421,18.01478749,18.05433077,18.09387405,18.13341732
Taichung,9.9,10,10.03333333,10.5,10.72362301,10.89056068,11.05749834,11.22443601,11.39137368,11.55831135,11.74271745,11.92712356,12.11152967,12.29593577,12.48034188,12.58018462,12.68002735,12.77987009,12.87971282,12.97955556,13.08771852,13.19588148,13.30404444,13.41220741,13.52037037,13.54564209,13.57091381,13.59618553,13.62145725,13.64672897,13.67681625,13.70690352,13.7369908,13.76707808,13.79716535
Tainan,10,10.13333333,10.2,10.6,10.82575275,10.9942803,11.16280785,11.3313354,11.49986295,11.6683905,11.85455286,12.04071521,12.22687757,12.41303992,12.59920228,12.6999959,12.80078952,12.90158313,13.00237675,13.10317037,13.21236346,13.32155654,13.43074963,13.53994272,13.6491358,13.67464821,13.70016061,13.72567301,13.75118542,13.77669782,13.80707164,13.83744546,13.86781929,13.89819311,13.92856693
Kaohsiung,10,10.13333333,10.2,10.6,10.82575275,10.9942803,11.16280785,11.3313354,11.49986295,11.6683905,11.85455286,12.04071521,12.22687757,12.41303992,12.59920228,12.6999959,12.80078952,12.90158313,13.00237675,13.10317037,13.21236346,13.32155654,13.43074963,13.53994272,13.6491358,13.67464821,13.70016061,13.72567301,13.75118542,13.77669782,13.80707164,13.83744546,13.86781929,13.89819311,13.92856693
Yilan,10,10.13333333,10.2,10.6,10.82575275,10.9942803,11.16280785,11.3313354,11.49986295,11.6683905,11.85455286,12.04071521,12.22687757,12.41303992,12.59920228,12.6999959,12.80078952,12.90158313,13.00237675,13.10317037,13.21236346,13.32155654,13.43074963,13.53994272,13.6491358,13.67464821,13.70016061,13.72567301,13.75118542,13.77669782,13.80707164,13.83744546,13.86781929,13.89819311,13.92856693
Hsinchu,12.3,13.23333333,14.1,13,13.27686659,13.48355132,13.69023605,13.89692078,14.10360551,14.31029024,14.53860256,14.76691488,14.99522721,15.22353953,15.45185185,15.57546667,15.69908148,15.8226963,15.94631111,16.06992593,16.20384198,16.33775802,16.47167407,16.60559012,16.73950617,16.77079497,16.80208377,16.83337256,16.86466136,16.89595016,16.93320107,16.97045198,17.0077029,17.04495381,17.08220472
Miaoli,13,14.2,15.33333333,13.8,14.09390453,14.31330832,14.53271211,14.7521159,14.97151969,15.19092348,15.43328579,15.67564811,15.91801042,16.16037273,16.40273504,16.53395692,16.6651788,16.79640068,16.92762256,17.05884444,17.20100148,17.34315852,17.48531556,17.62747259,17.76962963,17.80284389,17.83605815,17.86927241,17.90248667,17.93570093,17.97524421,18.01478749,18.05433077,18.09387405,18.13341732
Changhua,10.1,10.26666667,10.36666667,10.7,10.9278825,11.09799993,11.26811736,11.43823479,11.60835222,11.77846966,11.96638826,12.15430687,12.34222547,12.53014407,12.71806268,12.81980718,12.92155168,13.02329618,13.12504068,13.22678519,13.3370084,13.4472316,13.55745481,13.66767802,13.77790123,13.80365432,13.82940741,13.85516049,13.88091358,13.90666667,13.93732703,13.9679874,13.99864777,14.02930814,14.0599685
