city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,8.1,8.233333333,8.322222222,8.5,8.681028152,8.816168168,8.951308184,9.0864482,9.221588216,9.356728232,9.506009366,9.655290501,9.804571635,9.953852769,10.1031339,10.18395897,10.26478405,10.34560912,10.42643419,10.50725926,10.59481975,10.68238025,10.76994074,10.85750123,10.94506173,10.96551979,10.98597785,11.00643591,11.02689397,11.04735202,11.07170839,11.09606476,11.12042112,11.14477749,11.16913386
Taipei,8.4,8.666666667,8.888888889,8.9,9.089547124,9.23104667,9.372546216,9.514045762,9.655545309,9.797044855,9.953350984,10.10965711,10.26596324,10.42226937,10.5785755,10.6632041,10.74783271,10.83246131,10.91708991,11.00171852,11.09339951,11.18508049,11.27676148,11.36844247,11.46012346,11.48154425,11.50296504,11.52438583,11.54580662,11.56722741,11.59272996,11.61823251,11.64373506,11.66923761,11.69474016
Taoyuan,8.6,8.933333333,9.222222222,9.1,9.29380661,9.438485921,9.583165232,9.727844544,9.872523855,10.01720317,10.17702179,10.33684042,10.49665904,10.65647767,10.8162963,10.90282667,10.98935704,11.07588741,11.16241778,11.24894815,11.34268938,11.43643062,11.53017185,11.62391309,11.71765432,11.73955648,11.76145864,11.78336079,11.80526295,11.82716511,11.85324075,11.87931639,11.90539203,11.93146767,11.95754331
Taichung,8,8.1,8.155555556,8.4,8.578898409,8.712448542,8.845998676,8.979548809,9.113098943,9.246649077,9.394173962,9.541698848,9.689223733,9.836748619,9.984273504,10.06414769,10.14402188,10.22389607,10.30377026,10.38364444,10.47017481,10.55670519,10.64323556,10.72976593,10.8162963,10.83651367,10.85673105,10.87694843,10.8971658,10.91738318,10.941453,10.96552282,10.98959264,11.01366246,11.03773228
Tainan,8.8,9.2,9.555555556,9.3,9.498066095,9.645925172,9.793784248,9.941643325,10.0895024,10.23736148,10.4006926,10.56402372,10.72735485,10.89068597,11.05401709,11.14244923,11.23088137,11.3193135,11.40774564,11.49617778,11.59197926,11.68778074,11.78358222,11.8793837,11.97518519,11.99756871,12.01995223,12.04233576,12.06471928,12.0871028,12.11375153,12.14040026,12.167049,12.19369773,12.22034646
Kaohsiung,8.6,8.933333333,9.222222222,9.1,9.29380661,9.438485921,9.583165232,9.727844544,9.872523855,10.01720317,10.17702179,10.33684042,10.49665904,10.65647767,10.8162963,10.90282667,10.98935704,11.07588741,11.16241778,11.24894815,11.34268938,11.43643062,11.53017185,11.62391309,11.71765432,11.73955648,11.76145864,11.78336079,11.80526295,11.82716511,11.85324075,11.87931639,11.90539203,11.93146767,11.95754331
Yilan,9.4,10,10.55555556,9.9,10.11084455,10.26824292,10.4256413,10.58303967,10.74043804,10.89783641,11.07170503,11.24557364,11.41944226,11.59331087,11.76717949,11.86131692,11.95545436,12.04959179,12.14372923,12.23786667,12.33984889,12.44183111,12.54381333,12.64579556,12.74777778,12.7716054,12.79543302,12.81926064,12.84308827,12.86691589,12.89528389,12.92365189,12.9520199,12.9803879,13.00875591
Hsinchu,8.9,9.333333333,9.722222222,9.4,9.600195838,9.749644797,9.899093756,10.04854272,10.19799167,10.34744063,10.51252801,10.67761538,10.84270275,11.00779012,11.17287749,11.26226051,11.35164353,11.44102655,11.53040957,11.61979259,11.7166242,11.8134558,11.91028741,12.00711901,12.10395062,12.12657482,12.14919903,12.17182324,12.19444744,12.21707165,12.24400693,12.2709422,12.29787748,12.32481276,12.35174803
Miaoli,9.4,10,10.55555556,9.9,10.11084455,10.26824292,10.4256413,10.58303967,10.74043804,10.89783641,11.07170503,11.24557364,11.41944226,11.59331087,11.76717949,11.86131692,11.95545436,12.04959179,12.14372923,12.23786667,12.33984889,12.44183111,12.54381333,12.64579556,12.74777778,12.7716054,12.79543302,12.81926064,12.84308827,12.86691589,12.89528389,12.92365189,12.9520199,12.9803879,13.00875591
Changhua,9.1,9.6,10.05555556,9.6,9.804455324,9.957084048,10.10971277,10.2623415,10.41497022,10.56759894,10.73619881,10.90479868,11.07339855,11.24199842,11.41059829,11.50188308,11.59316786,11.68445265,11.77573744,11.86702222,11.96591407,12.06480593,12.16369778,12.26258963,12.36148148,12.38458705,12.40769263,12.4307982,12.45390377,12.47700935,12.50451771,12.53202608,12.55953445,12.58704281,12.61455118
Nantou,9.2,9.733333333,10.22222222,9.7,9.906585067,10.06080367,10.21502228,10.36924089,10.52345949,10.6776781,10.84803422,11.01839034,11.18874645,11.35910257,11.52945869,11.62169436,11.71393003,11.8061657,11.89840137,11.99063704,12.09055901,12.19048099,12.29040296,12.39032494,12.49024691,12.51359317,12.53693943,12.56028568,12.58363194,12.60697819,12.63477311,12.66256802,12.69036293,12.71815784,12.74595276
Yunlin,9.4,10,10.55555556,9.9,10.11084455,10.26824292,10.4256413,10.58303967,10.74043804,10.89783641,11.07170503,11.24557364,11.41944226,11.59331087,11.76717949,11.86131692,11.95545436,12.04959179,12.14372923,12.23786667,12.33984889,12.44183111,12.54381333,12.64579556,12.74777778,12.7716054,12.79543302,12.81926064,12.84308827,12.86691589,12.89528389,12.92365189,12.9520199,12.9803879,13.00875591
Chiayi,9.4,10,10.55555556,9.9,10.11084455,10.26824292,10.4256413,10.58303967,10.74043804,10.89783641,11.07170503,11.24557364,11.41944226,11.59331087,11.76717949,11.86131692,11.95545436,12.04959179,12.14372923,12.23786667,12.33984889,12.44183111,12.54381333,12.64579556,12.74777778,12.7716054,12.79543302,12.81926064,12.84308827,12.86691589,12.89528389,12.92365189,12.9520199,12.9803879,13.00875591
Pingtung,8.7,9.066666667,9.388888889,9.2,9.395936353,9.542205546,9.68847474,9.834743934,9.981013128,10.12728232,10.2888572,10.45043207,10.61200695,10.77358182,10.9351567,11.02263795,11.1101192,11.19760046,11.28508171,11.37256296,11.46733432,11.56210568,11.65687704,11.7516484,11.84641975,11.86856259,11.89070543,11.91284828,11.93499112,11.95713396,11.98349614,12.00985833,12.03622051,12.0625827,12.08894488
