city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NewTaipei,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Taipei,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Taoyuan,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Taichung,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Tainan,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Kaohsiung,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Yilan,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Hsinchu,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Miaoli,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Changhua,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
Nantou,3.3,3.3,3.3,3.3,3.311614907,3.323479491,3.335344076,3.34720866,3.359073245,3.370937829,3.383235242,3.395532655,3.407830067,3.42012748,3.432424893,3.444415897,3.456406901,3.468397905,3.480388909,3.492379913,3.504797263,3.517214614,3.529631965,3.542049316,3.554466667,3.566515706,3.578564746,3.590613785,3.602662825,3.614711864,3.628022656,3.641333448,3.654644239,3.667955031,3.681265823
