year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity
1998,231611.4058,227467.7922,331340.9972,238752.5126,228492.4588,200609.589,224118.0855,194901.4925,217899.7608,181713.8425,189653.5377,187980.5699,195768.6391,176055.1515,196415.0794,171930.581,213324.3323,163308.7379,219775.4098,256029.0667,249561.7143
1999,244918.1818,239970.9677,336651.2535,250477.9841,249440.1551,216385.6145,234362.3614,232872.3944,233956.2802,204675.5906,193149.1049,227798.4085,212760.1719,178562.5,215245.2096,168942.9412,209142.3529,186268.038,242730.1676,261256.0724,246550.4644
2000,246255.5249,251462.6781,338190.4372,253975.7732,227953.4002,213754.1918,238804.4142,221787.3278,247438.0145,201060.9694,187578.4653,196614.0162,221841.2141,205661.7564,222349.8551,202942.4051,226182.0122,228627.8689,250980.814,288539.3701,233729.1908
2001,242639.9441,244859.5628,339256.8245,240442.9688,231961.0263,206350.5132,236803.9464,203901.6854,245392.2872,195311.809,185972.1053,195500.8451,224626.9939,189221.49,201697.6261,201609.3248,227027.7439,202567.3469,221628,304372.3757,226392.5072
2002,239977.8082,244558.4239,357213.6232,251276.6667,222157.08,206903.4299,226878.9058,198736.2857,227122.9665,197581.3472,191679.8561,183698.6559,200586.2974,172609.0395,226036.1272,199788.9571,200975.8017,203919.5286,204576.4873,278438.2114,237468.5393
2003,249762.6062,256420.9632,365696.1424,248638.342,235851.5447,228002.6219,235499.7556,210582.973,233273.4336,199542.3077,206598.9873,191984.2254,200477.9762,180628.4457,230308.2067,215203.8194,220775.5287,189692.9032,211050.2907,301188.5475,220629.4286
2004,254642.5714,258607.0423,380464.5963,260039.4256,223836.9277,221380.41,248193.5504,207784.6154,240242.1182,202883.6565,206501.7995,220405.6716,200514.5299,193478.655,219940.3125,203125.0804,236692.053,229484.7134,253161.2245,328112.3989,223909.0323
2005,261571.345,266156.9801,392385.3968,264219.0349,231140.4396,228795.0456,258150.9788,239789.2128,257501.7115,208363.9566,205209.9196,206193.6639,209930.4207,212212.8125,222550.7508,209625.614,228532.4138,212296.9595,247920.6799,289001.8519,247077.8116
2006,267768.915,283576.2195,377965.8683,265208.9189,245391.1234,233049.4815,256965.066,227851.9288,244339.5408,243412.6074,214572.8947,231040.5099,229462.1622,210026.506,222533.631,214753.2646,256628.2686,239281.6949,242997.8261,333697.151,245611.3497
2007,273335.503,262347.1264,389064.3505,282757.4648,259491.2159,244429.246,277664.3066,226848.9426,242714.6667,234812.7841,213288.7363,202299.4398,219773.5099,204771.4744,250350.3145,250159.375,247331.058,215539.1304,263624.7678,367087.3563,240144.4079
2008,272742.3881,285062.1701,386340.4255,271965.1558,243983.6861,243562.1415,267872.0212,258515.8537,284478.0749,219286.6279,206669.837,212893.6937,217560.8108,228268.2927,223283.758,196146.8227,227133.9869,244150,261760.2564,330720.8914,247957.5251
2009,265750,265140.8046,387052.795,268840.5714,237285.9774,234082.9948,265469.2351,239955.3055,274737.2283,213791.8079,210869.9438,228450,207072.7273,217976.4706,225211.7647,227056.8027,223025.8503,233615.5932,265588,323029.3447,241773.5915
2010,273647,273351,402056,272470,238713.6241,233966.9312,278435.3256,249995,282953,230692,212335,228920,204811,216608,223022,222905,251270,287265,273157,335580,250342
2011,275984,279239,381561,273295,265316,245524,270996,227574,304977,233604,218099,214423,225436,236381,235938,223482,270372,235343,265936,334118,245468
2012,285939,278023,398217,287727,271157,242163,283843,271346,305546,245261,237947,250539,232985,265233,235953,247239,276949,259663,269329,344261,299540
2013,293523,284783,408688,288668,282352,261153,295244,266844,314004,259072,235744,243951,245405,236947,232187,266295,271606,273034,290287,361153,311947
2014,303762,291591,412973,314701,303365,266012,300872,284733,317748,269461,236695,258273,256153,241131,246320,270364,271001,293299,287145,370714,322686
2015,311256,305575,426633,311248,311948,269302,319905,297553,310076,262711,246179,245433,252666,243061,252801,251447,283620,264015,315698,341257,297019
2016,323490,326152,440278,325471,322806,286254,304104,311624,322158,292560,275692,253356,270909,250329,263519,277633,308024,315671,314446,379313,315559
2017,331903,337605,436538,327133,337637,293031,321015,313995,374050,277094,249639,257955,269954,270167,280227,298522,303398,295554,325550,440980,309364
2018,339772,350606,436489,346623,343713,293762,328911,319137,372138,293097,270055,275233,273251,281741,293841,300517,301173,305960,313548,392489,339531
2019,350904,371156,458839,357432,352633,305444,331657,311283,355984,305114,285842,270085,287962,271154,284524,297520,322574,333740,328890,401738,347938
2020,369742,396813,472710,363913,362089,320617,350964,326318,399507,321271,299787,303059,291480,306367,318564,338343,335889,373770,358417,430002,364317
2021,377354,390261,520208,387883,371544,324518,356225,330959,414165,325926,294376,285345,323603,297740,328030,322079,354020,322290,357885,422376,374787
