year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity,Jinma
1998,21928591,3459624,2639939,1650984,2385367,1822102,2689374,465627,427980,559858,1301467,545874,748995,565733,910540,249937,356601,89463,382118,356243,263050,57715
1999,22092387,3510917,2641312,1691292,2421996,1831783,2705857,465004,433767,559804,1305640,544038,746241,562662,909015,247801,355686,89013,385201,361958,265109,58291
2000,22276672,3567896,2646474,1732617,2460098,1842337,2725267,465186,439713,559703,1310531,541537,743368,562305,907590,245312,353630,89496,388425,368439,266183,60565
2001,22405568,3610252,2633802,1762963,2485968,1848243,2731415,465799,446300,560640,1313994,541818,743562,563365,909364,244612,353139,92268,390966,373296,267993,65809
2002,22520776,3641446,2641856,1792603,2508495,1852664,2742905,464107,452679,560766,1316179,541292,742797,562394,906178,243965,352154,92446,391450,378797,267907,67696
2003,22604550,3676533,2627138,1822075,2529763,1856461,2746819,463285,459287,560903,1316443,540397,740501,560410,903772,242842,351146,92253,392242,382897,269594,69789
2004,22689122,3708099,2622472,1853029,2548332,1860591,2751602,462286,467246,560643,1316762,538413,736772,557903,900199,240373,349149,91808,392337,386950,270341,73815
2005,22770383,3736677,2616375,1880316,2566220,1862918,2753486,461586,477677,559944,1315826,537168,733330,557101,898300,238943,347298,92489,391727,390692,271701,80609
2006,22876527,3767095,2632242,1911161,2587828,1866727,2760180,460426,487692,559986,1315034,535205,728490,553841,893544,235957,345303,91785,390633,394757,272364,86277
2007,22958360,3798015,2629269,1934968,2606794,1870061,2764868,460398,495821,560163,1314354,533717,725672,551345,889563,233660,343302,92390,390397,399035,273075,91493
2008,23037031,3833730,2622923,1958686,2624072,1873005,2769054,460902,503273,560397,1312935,531753,723674,548731,884838,231849,341433,93308,388979,405371,273793,94325
2009,23119772,3873653,2607428,1978782,2635761,1875406,2770887,461625,510882,561744,1312467,530824,722795,547716,882640,232497,340964,96210,388321,411587,273861,103722
2010,23162123,3897367,2618772,2002060,2648419,1873794,2773483,460486,513015,560968,1307286,526491,717653,543248,873509,230673,338805,96918,384134,415344,272390,107308
2011,23224912,3916451,2650968,2013305,2664394,1876960,2774470,459061,517641,562010,1303039,522807,713556,537942,864529,228290,336838,97157,379927,420052,271526,113989
2012,23315822,3939305,2673226,2030161,2684893,1881645,2778659,458595,523993,563976,1299868,520196,710991,533723,858441,226252,335190,98843,377153,425071,271220,124421
2013,23373517,3954929,2686516,2044023,2701661,1883208,2779877,458456,530486,565554,1296013,517222,707792,529229,852286,224821,333897,100400,374914,428483,270872,132878
2014,23433753,3966818,2702315,2058328,2719835,1884284,2778992,458777,537630,567132,1291474,514315,705356,524783,847917,224470,333392,101758,373077,431988,270883,140229
2015,23492074,3970644,2704810,2105780,2744445,1885541,2778918,458117,542042,563912,1289072,509490,699633,519839,841253,222452,331945,102304,372105,434060,270366,145346
2016,23539816,3979208,2695704,2147763,2767239,1886033,2779371,457538,547481,559189,1287146,505163,694873,515320,835792,220802,330911,103263,372100,437337,269874,147709
2017,23571227,3986689,2683257,2188017,2787070,1886522,2776912,456607,552169,553807,1282458,501051,690373,511182,829939,219540,329237,104073,371458,441132,269398,150336
2018,23588932,3995717,2668572,2220872,2803894,1883831,2773533,455221,557010,548863,1277824,497031,686022,507068,825406,218919,327968,104440,370155,445635,268622,152329
2019,23603121,4018696,2645041,2249037,2815261,1880906,2773198,454178,563933,545459,1272802,494112,681306,503113,819184,216781,326247,105207,368893,448803,267690,153274
2020,23561236,4030954,2602418,2268807,2820787,1874917,2765932,453087,570775,542590,1266670,490832,676873,499481,812658,215261,324372,105952,367577,451412,266005,153876
2021,23375314,4008113,2524393,2272391,2813490,1862059,2744691,450692,575580,538178,1255330,484897,670132,493316,804440,213386,321358,106340,363977,452640,264727,155184
2022,23264640,3995551,2480681,2281464,2814459,1852997,2728137,449062,580503,535132,1245239,479595,664092,488158,798703,212551,318892,107223,361526,452473,262924,155278
