year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity,Jinma
1998,22871,4405,6083,1661,1872,1214,2996,120,184,326,783,229,359,167,366,124,231,94,360,668,410,219
1999,23798,4582,6255,1676,1999,1228,3167,121,233,333,840,264,372,199,360,116,277,88,356,709,413,210
2000,23923,4571,6212,1719,1993,1337,3001,127,248,340,843,238,424,235,376,118,258,99,346,799,423,216
2001,24053,4297,6366,1720,2125,1305,3039,133,218,362,863,230,413,262,383,129,239,100,406,804,433,226
2002,25079,5133,6161,1690,2264,1477,2999,127,215,368,883,224,469,179,401,130,238,129,397,789,559,247
2003,25628,5574,6014,1746,2321,1437,3084,130,215,366,947,227,484,163,411,124,254,137,408,798,540,248
2004,26453,5597,6148,1835,2492,1566,3249,127,217,402,912,225,530,169,421,125,260,162,420,806,545,245
2005,26967,5613,6264,2083,2628,1630,3004,101,230,429,929,209,578,160,431,130,287,174,445,782,592,268
2006,27522,5777,6237,2035,2665,1834,3028,103,244,436,1022,240,590,154,437,134,299,176,429,781,636,265
2007,27361,5645,6319,1953,2635,1896,2910,137,268,432,1055,225,603,149,442,132,304,179,412,786,627,252
2008,27339,5647,6301,1940,2632,1733,2942,163,280,455,1108,207,612,145,446,137,308,184,433,774,630,262
2009,27667,5698,6373,2007,2676,1733,2929,189,298,483,1069,234,609,163,447,144,334,180,428,773,622,278
2010,29030,6047,6919,1964,2736,1795,3052,208,386,443,1111,231,613,154,444,151,349,191,445,886,627,278
2011,29991,6247,7135,2013,2830,1850,3151,246,365,508,1127,232,618,148,457,149,379,201,443,951,647,294
2012,31098,6431,7187,2081,3014,1841,3451,262,401,546,1206,262,621,160,465,149,396,208,460,993,659,305
2013,31960,6720,7229,2136,3241,1885,3520,279,386,590,1204,274,610,167,477,157,422,210,472,1005,665,311
2014,32928,6781,7460,2176,3547,1951,3598,313,421,547,1218,270,616,173,539,164,400,219,502,1036,670,327
2015,33890,7051,7513,2236,3697,2066,3694,333,457,522,1215,285,621,183,548,167,411,223,560,1074,678,356
2016,34531,7301,7404,2292,3807,2084,3806,343,507,533,1205,295,644,173,575,171,431,234,567,1084,709,366
2017,34188,7485,7255,2223,3717,2079,3512,333,554,476,1206,322,655,185,546,155,459,258,568,1103,732,365
2018,33877,7378,7243,2265,3731,2020,3425,334,548,481,1155,357,627,182,558,162,426,235,548,1087,735,380
2019,33288,7369,7122,2227,3524,1995,3453,329,530,455,1101,378,593,173,541,163,401,252,529,1066,713,374
2020,32521,7367,6784,2157,3433,2046,3192,330,521,463,1080,393,589,177,529,178,405,263,484,1034,695,401
2021,31936,7228,6335,2252,3398,2088,3094,325,542,465,1079,446,578,173,535,184,373,268,452,1012,715,394
2022,31244,7336,6099,2227,3319,2057,2954,327,540,481,1098,413,624,156,521,185,354,263,228,979,691,392
