year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity,Jinma
1988,1461359,205125,300486,105332,195325,105078,173947,19195,34765,32782,79810,34617,36182,24599,39127,8756,15009,1589,12208,19592,17835,0
1989,1829027,265539,354245,136271,227209,141118,221774,25964,35611,42294,98215,43925,45721,31833,52262,11652,20481,2259,17405,33320,21929,0
1990,2160375,313670,388882,163421,265345,169288,265438,33680,42679,52595,117431,53316,55787,39831,66736,14850,26807,3040,22005,39647,25927,0
1991,2440685,345776,410222,186331,302883,194602,300812,40585,50079,62035,135865,61877,65981,47530,80599,17707,33665,4024,25751,45039,29322,0
1992,2799519,393696,441088,214365,348415,227615,350930,48136,57755,72092,157978,72184,78370,57048,96853,21602,40968,5110,30211,51203,33900,0
1993,3139876,440430,467284,240944,391379,259322,396347,55605,64757,81668,179327,82187,90706,66550,113026,25985,48099,6170,34969,57152,37969,0
1994,3469377,487510,492833,269698,435071,291006,432228,62831,73634,91140,199794,91695,102457,75956,126564,30303,54730,7330,39564,62834,42199,0
1995,3771662,527817,512408,299077,474425,318932,472604,69547,81425,100916,219495,99849,112876,84147,138996,33509,58444,8314,44972,68088,45821,0
1996,4039649,568102,531259,327297,511482,340697,503764,74917,89380,109181,236292,106784,122275,91808,146546,36007,62371,9106,49494,73673,49214,0
1997,4302622,607611,549636,358765,548864,362604,523521,80108,96960,116665,252207,113384,131215,98735,153243,38423,66653,9982,53808,80057,52891,7290
1998,4433195,617601,568661,377060,563462,370453,546499,82679,101866,120742,258970,114185,135319,101102,155594,39086,67619,10506,55722,83646,54236,8187
1999,4401730,613548,545246,384464,561367,374976,521649,86244,104082,123435,255604,112091,139347,103947,154755,37592,67717,10376,56489,84823,55003,8975
2000,4608960,643739,559056,407802,595646,386176,550107,88973,111078,129904,273828,119875,141685,106430,157624,38739,71651,11121,59485,90468,55909,9664
2001,4720641,659229,559221,423389,609839,394833,567596,90618,114681,132144,281801,123243,145318,109647,162153,39892,73157,12354,60968,93141,57451,9966
2002,4888050,681769,571394,436968,634738,411800,580737,94368,119421,135338,292548,128139,152334,114873,169294,42091,77297,13623,64542,95720,59928,11128
2003,5071981,704939,587958,457316,659951,427894,602265,96981,124585,139724,303891,132613,157828,119698,176530,44025,79286,14315,67460,99962,62422,12338
2004,5262693,720798,577435,484264,692312,448232,629298,100298,132597,148184,317707,138384,165222,126066,187272,46260,80058,14860,70154,104722,65328,13242
2005,5495693,751606,584019,511470,724301,469410,658617,105097,140631,155701,333327,143834,174550,132058,197106,48699,83523,15796,73805,108744,68673,14726
2006,5555507,756665,584095,521389,731749,474433,666481,107350,144422,157726,336662,146108,178078,133279,198382,48916,83789,16332,74417,110329,69232,15673
2007,5567687,755339,576173,526564,740286,476439,662447,108688,148159,158689,339158,146667,178597,133732,195893,48710,83083,16764,74074,112086,69381,16758
2008,5530314,751144,566651,525445,737219,471826,654478,108973,149124,158129,338511,145930,177509,133165,193538,48131,82203,17089,73366,111561,68730,17592
2009,5559247,752792,564458,529834,745468,472207,653356,110637,151592,159135,341653,147088,179173,134236,193445,48590,82699,17726,73826,113080,69164,19088
2010,5642969,764614,562060,541825,761372,479004,659586,112192,156089,162260,347991,149019,182196,136336,196080,49637,83885,18462,74339,115451,70200,20371
2011,5787010,781633,569758,559846,784778,491360,674382,114891,161669,166608,357348,152186,187153,139692,200964,51017,85874,19260,75780,118986,71800,22025
2012,5909115,794706,575653,575017,805706,502114,685672,117612,166369,170290,364740,155810,191659,142279,205365,52274,87756,20189,76883,121821,73069,24131
2013,6046599,816104,582537,591208,827022,513198,699190,120321,171307,174300,372143,159191,196056,145107,209432,54137,90190,21265,78274,124730,74423,26464
2014,6205246,837340,593661,609457,849131,526753,713783,123841,177591,178905,381016,163202,201509,148641,215545,55996,93256,22488,79859,127915,76205,29152
2015,6365190,854064,600733,630531,873485,541209,728920,127899,183391,183650,391055,167276,207242,152392,221898,58357,96244,23708,81635,131198,78242,32061
2016,6453083,861307,603391,646362,890086,549699,736987,129748,187150,185154,395314,168535,209688,154101,224763,59045,97739,24527,82340,133777,79249,34121
2017,6542685,866347,605734,661374,906704,559035,746131,131801,191215,186992,400679,169996,212801,156557,227488,59873,98576,25241,83108,136623,80296,36114
2018,6617429,870532,606777,675637,920740,566071,752953,133435,194695,188355,405084,171225,215968,158511,230042,60614,99232,26110,83559,138917,80970,38002
2019,6685641,878214,604597,688347,931531,572940,758291,134840,198475,189752,408901,171938,219058,160601,232671,61333,100383,26918,84198,141041,81829,39783
2020,6749381,886627,602509,702641,941670,578839,763975,136459,202781,191078,410334,172077,221136,162335,234710,62117,101154,27669,84757,143087,82293,41133
2021,6862695,902359,602593,720207,959102,589091,774408,139604,208633,194699,416670,173315,225179,165225,238297,63326,102774,28241,86036,146514,83530,42892
2022,6960694,915967,600720,737568,975582,598300,783795,142594,213985,197606,420745,174360,228423,167653,241137,64229,103838,28776,87299,149329,84278,44510
