year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity
2011,163439,14908,6292,18214,23971,12581,25281,4446,4503,5240,12682,4668,7822,4510,6209,1689,2583,486,2351,2486,2517
2012,160529,14337,6072,18380,23582,12262,25025,4222,4485,5046,12466,4517,7883,4434,6174,1610,2504,473,2261,2330,2466
2013,161382,14493,6058,18588,23538,12339,25181,4210,4514,5134,12612,4581,8003,4441,6152,1631,2487,475,2220,2274,2451
2014,162691,14421,7820,18847,22169,12420,25234,4131,4617,5207,12796,4622,8172,4433,6165,1622,2539,486,2256,2293,2441
2015,164934,14677,8038,19205,22398,12616,25334,4161,4604,5218,13125,4685,8343,4423,6211,1656,2629,489,2346,2303,2473
2016,166161,14594,8112,19605,22469,12816,25384,4127,4660,5202,13287,4728,8525,4454,6240,1693,2684,483,2329,2262,2507
2017,166288,14439,8083,19913,22261,13005,25314,4065,4752,5113,13404,4683,8561,4506,6232,1709,2676,498,2293,2292,2489
2018,163866,14330,7840,19748,21691,12975,25256,3880,5081,4965,13304,4561,8193,4535,6080,1689,2555,501,2225,2088,2369
2019,164857,14370,7959,19858,21126,13097,25305,3963,5421,4918,13412,4558,8383,4695,6168,1702,2647,514,2316,2123,2322
2020,166477,14516,7830,20189,21188,13254,25655,4055,5620,5007,13321,4652,8539,4725,6274,1692,2634,518,2312,2183,2313
2021,169992,14886,7902,20852,21680,13578,26239,4024,5809,5088,13531,4703,8676,4784,6417,1696,2611,528,2402,2224,2362
2022,172258,15114,7900,21524,21740,13755,26673,4085,5893,5148,13743,4718,8790,4885,6484,1699,2623,539,2353,2253,2339
