year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity
2011,845882,91026,59623,63627,111476,77220,94027,18658,18718,24090,70123,32382,42263,34054,46586,14334,17533,3194,6143,11316,9489
2012,859272,91595,59877,64820,113215,78807,95865,19008,19000,24316,71119,32959,43557,34618,47721,14669,17722,3209,6250,11351,9594
2013,872367,93261,60287,66096,114705,80363,97175,19353,19334,24753,72004,33415,44334,35168,48629,14894,17990,3273,6298,11405,9630
2014,887381,94576,61882,67142,116048,81820,98811,19720,19733,25238,72960,34003,45269,35876,49551,15199,18411,3410,6404,11567,9761
2015,900199,95266,62362,68342,117408,83108,100006,20114,20102,25683,74083,34690,46072,36498,50652,15627,18913,3497,6455,11479,9842
2016,907784,95131,62386,69371,117997,83831,100925,20336,20340,25961,74542,35304,46947,36906,51514,15914,19202,3578,6391,11447,9761
2017,915446,94848,62132,70090,118828,84915,101827,20619,20472,26272,75239,35753,47821,37292,52155,16112,19488,3660,6446,11617,9860
2018,922127,95463,62017,70886,119511,85626,102444,20868,20554,26504,75441,36215,48573,37725,52753,16282,19636,3762,6456,11533,9878
2019,930227,96113,62488,71935,120312,86312,103096,21040,20771,26754,75702,36650,49489,38006,53347,16395,19848,3894,6461,11646,9968
2020,936612,96563,62795,72845,121256,86640,103794,21220,21014,26827,75820,36715,50284,38343,53747,16452,20108,3947,6559,11708,9975
2021,950210,98215,64147,74467,123035,87829,105110,21563,21513,27131,76591,37008,51121,38651,54105,16778,20387,4015,6648,11867,10029
2022,964027,99513,65058,76097,124694,88941,106521,21931,22005,27604,77051,37341,52182,39182,54929,17063,20795,4052,6796,12110,10162
