year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity,Jinma
2011,173078,23872,94286,5827,12192,7428,13201,1104,803,543,2662,391,391,288,583,663,1472,310,4002,1815,519,726
2012,182209,23999,99575,6078,13844,8377,13584,1135,831,544,2749,412,407,297,568,703,1627,327,4056,1832,521,743
2013,190280,24437,103697,6305,15053,9520,13934,1191,884,575,2865,430,416,312,594,769,1694,356,4107,1825,562,754
2014,200532,24925,108578,6645,17151,10811,14283,1242,1042,640,3002,463,431,328,649,827,1859,395,4110,1767,598,786
2015,208556,25061,112257,7203,18481,11899,14458,1318,1374,693,3243,448,447,333,703,924,2140,449,4074,1614,620,817
2016,212923,25031,115009,8080,18797,12288,14603,1297,1331,718,3225,451,451,327,704,924,2178,528,4060,1419,695,807
2017,220737,25891,118317,8749,19921,12971,15518,1336,1394,752,3183,425,448,341,712,927,2141,570,4072,1516,714,839
2018,228282,26906,120880,9443,20799,13872,16444,1412,1612,759,3240,437,508,355,707,934,2054,638,3956,1677,810,839
2019,233615,26407,124446,9460,21532,15979,15839,1413,1539,797,3162,434,496,384,700,903,1987,705,4147,1496,904,885
2020,235369,25587,126438,8884,21429,17262,15787,1395,1411,798,3427,435,504,422,664,935,1856,796,4131,1349,957,902
2021,241339,25064,132320,8687,21174,18711,15576,1337,1287,770,3454,454,490,431,665,1002,1764,915,4003,1340,954,941
2022,249633,24576,138847,8997,21698,19669,15739,1303,1297,783,3573,485,493,435,691,1056,1717,1068,3850,1316,980,1060
