year,total,NewTaipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,Pingtung,Taitung,Hualien,Penghu,Keelung,HsinchuCity,ChiayiCity,Jinma
1995,8517024,1317169,677946,589385,942193,800091,1309186,176733,148248,203411,538668,205016,289496,218162,409128,105333,145571,38555,113832,148454,118330,22117
1996,9283914,1432416,725370,651755,1030707,876425,1434823,190500,163102,221105,582655,223025,314676,236314,447819,114775,157104,42410,124094,161924,128349,24566
1997,10051613,1552266.463,775648.2315,714636.2133,1118756.334,951285.2839,1557761.465,204106.0609,178836.0534,239181.0714,627755.1874,240556.0718,339506.1013,254490.076,485262.1448,123644.0369,168642.0503,45894.0137,133149.0397,174643.0521,138707.0414,26887.00802
1998,10529040,1627890,803196,760745,1177600,1000596,1619986,212270,190591,251337,654735,252303,354268,265633,508675,128978,175642,48049,138581,184087,144804,29074
1999,10958469,1688638,824366,806731,1237392,1044814,1680628,219856,200862,262943,678717,262402,366044,274705,523594,133585,181888,50000,143433,194954,151637,31280
2000,11423172,1767586,854753,846298,1294612,1086638,1737546,229083,212152,273920,705800,273654,380261,286079,545515,139227,189254,53521,149217,205195,158458,34403
2001,11733202,1821497.845,865125.9263,876308.9253,1335995.886,1118259.905,1785492.848,233342.9801,220147.9812,281117.976,723707.9383,280247.9761,389068.9668,293273.975,560466.9522,142345.9879,193502.9835,54642.99534,152274.987,209605.9821,160419.9863,36352.9969
2002,11983757,1863695.156,870000.0726,903571.0754,1377688.115,1144504.096,1820065.152,236147.0197,227036.0189,287377.024,736648.0615,285773.0238,394956.033,295250.0246,571468.0477,145124.0121,196392.0164,56694.00473,154851.0129,215212.018,162726.0136,38579.00322
2003,12366864,1935054,898485,947119,1437581,1179099,1865200,243555,238720,295923,754563,293898,402015,305848,575839,143656,199506,60006,159556,221824,166992,42425
2004,12793950,1978602,1018384,885352,1415326,1201867,1966609,265481,222693,305556,809167,307967,434870,327715,614577,158227,218671,57916,170994,223002,177751,33223
2005,13175567.95,2032859.838,1029432.918,924958.9263,1462761.883,1243806.901,2036275.838,270353.9785,231470.9816,313788.975,826893.9341,316512.9748,446581.9644,335372.9733,635536.9494,162886.987,222958.9822,60187.9952,176111.986,229799.9817,182149.9855,34862.99722
2006,13466209.75,2079580.961,1039139.981,957402.9822,1498803.972,1274442.976,2086941.961,273441.9949,239587.9956,320431.9941,841007.9844,322274.994,454838.9916,340941.9937,650108.9879,165646.9969,225930.9958,61484.99886,178380.9967,233970.9957,185825.9966,36020.99933
2007,13726060.83,2122179.974,1047076.987,991736.9877,1535163.981,1304414.984,2111875.974,276722.9966,248461.9969,327651.9959,853537.9894,328911.9959,461837.9943,346289.9957,663127.9918,168140.9979,228973.9972,62637.99922,180658.9978,239982.997,188771.9977,37901.99953
2008,14013823.32,2159450.895,1054208.949,1031657.95,1582391.923,1336120.935,2149206.896,281154.9864,256864.9875,336254.9837,867950.9579,335562.9837,468101.9773,351295.983,669577.9675,170829.9917,232600.9887,63939.9969,183423.9911,249309.9879,193914.9906,40000.99806
2009,14008595.62,2167645.786,1048210.897,1037841.898,1587622.844,1332578.869,2130806.79,280931.9723,260168.9744,335916.9669,865544.9147,335590.9669,466325.9541,350827.9654,668981.9341,170737.9832,232087.9771,65634.99353,182988.982,251636.9752,194321.9809,42189.99584
2010,13975865.69,2169655.797,1030484.903,1043804.902,1591355.851,1332001.875,2126768.801,277943.9739,262226.9754,334849.9686,862035.9192,333813.9687,463434.9566,349329.9673,667593.9374,169553.9841,230488.9784,65086.9939,181380.983,249669.9766,191081.9821,43300.99594
2011,14005974.73,2178187.269,1016810.126,1056046.13,1610168.199,1337635.165,2127195.263,275996.0341,265347.0328,335871.0415,860955.1063,333996.0413,461603.057,345073.0426,667901.0825,169613.021,229533.0284,66261.00818,180981.0224,251528.0311,190185.0235,45089.00557
2012,13775684.38,2155492.747,1000839.882,1055013.876,1601348.812,1313420.846,2077681.756,271300.9681,265914.9687,329633.9612,840521.9012,327378.9615,447811.9473,340689.9599,641437.9246,160020.9812,222233.9739,66841.99214,177731.9791,247093.9709,186014.9781,47257.99444
2013,13780913.45,2202926.186,1004614.546,1092556.302,1629417.011,1282438.072,2028554.241,272199.5642,274029.5604,329508.0568,827198.1085,320993.9629,436896.3142,331480.7636,630720.5854,156179.7436,220541.2456,70897.06425,182212.2897,253465.645,182456.9364,51627.25229
2014,13735960,2191138,980563,1096107,1647752,1289122,2010212,274911,277619,327562,824255,317019,435831,331987,619211,156147,209245,71748,180582,256450,181927,56572
2015,13661719,2178050,962797,1108748,1650878,1284700,1996797,270896,278635,321726,816564,312905,429073,327155,616482,153244,201668,71785,181006,255610,182039,60961
2016,13668227,2180322,952180,1126573,1665116,1281853,1990803,269532,281768,319681,812850,311058,425846,324860,615034,152952,200935,73760,181573,256982,179973,64576
2017,13755582,2188019,953645,1153997,1687364,1289720,1999902,269535,286588,319477,813402,311361,425709,322523,617054,151986,201456,76218,182847,259794,176778,68207
2018,13835520,2187606,944171,1189124,1706686,1298511,2008475,268707,292224,320570,814079,311874,426081,323227,619601,153175,200260,77884,182728,263448,176008,71081
2019,13992922,2198097,952055,1236264,1730244,1317691,2028702,270219,300189,320467,818619,311457,430135,324643,618181,153512,200597,79611,183288,267848,177202,73901
2020,14103763,2211719,946851,1265968,1755563,1326431,2038102,271408,307537,322373,819659,311784,431896,325849,618960,154055,200850,82161,184922,272535,177839,77301
