year,heavy_truck,light_truck,total
1999,152878,627034,779912
2000,155623,652963,808586
2001,155140,675533,830673
2002,155805,700978,856783
2003,157156,728624,885780
2004,160460,758809,919269
2005,164248,789222,953470
2006,166211,805590,971801
2007,164004,811646,975650
2008,161231,812440,973671
2009,158812,827955,986767
2010,161084,832466,993550
2011,164221,848732,1012953
2012,161256,862230,1023486
2013,162122,875544,1037666
2014,163446,890703,1054149
2015,165695,903739,1069434
2016,166943,911524,1078467
2017,167088,919294,1086382
2018,164661,926128,1090789
2019,165680,934456,1100136
2020,167307,941016,1108323
2021,169992,950210,1120202
2022,172258,964027,1136285
