age,scooter,car,operating_car
0,1,1,1
1,1.010498,0.999,1
2,1.004008,0.999,0.9673
3,0.998298317,0.999,0.5858
4,0.996228211,0.999,0.4495
5,0.993340597,0.999,0.3497
6,0.986346974,0.999,0.296
7,0.971583447,0.999,0.2606
8,0.961392728,0.999,0.2292
9,0.945219523,0.998357107,0.2013
10,0.917315089,0.995065379,0.1736
11,0.883321173,0.987215642,0.1474
12,0.836957785,0.973599724,0.123
13,0.780420842,0.952620365,0.1014
14,0.714326282,0.920376031,0.0811
15,0.644854326,0.874198739,0.0643
16,0.569562503,0.815631051,0.05
17,0.498486996,0.746995693,0.0382
18,0.437530757,0.670163407,0.0288
19,0.383740446,0.590064569,0.0216
20,0.330164789,0.510441897,0.0161
21,0.278723541,0.434477271,0.0118
22,0.226601379,0.364176895,0.0085
23,0.182267942,0.301816223,0.0063
24,0.144405059,0.248348717,0.0048
