age,bus,heavy_truck,car,operating_car,taxi,light_truck,sp_car,scooter
0,0.046504929,0.063259329,0.040449702,0.1649862,0.060171571,0.049724259,0.050751691,0.044860314
1,0.045608757,0.070209189,0.046125142,0.167902481,0.06101174,0.047945849,0.08768542,0.059098541
2,0.040071694,0.057274245,0.047609621,0.157619385,0.088737315,0.045819601,0.066329085,0.068601046
3,0.054474459,0.056430787,0.04859774,0.111896264,0.09214221,0.0418365,0.067201648,0.061868052
4,0.057355012,0.047274072,0.051724871,0.080766565,0.073636384,0.037864752,0.060335579,0.059653972
5,0.05994751,0.034841736,0.05531072,0.056691223,0.075692587,0.037222749,0.057403196,0.067588929
6,0.084784279,0.030913303,0.055124245,0.051928231,0.091501028,0.034613451,0.054899941,0.057734459
7,0.085424401,0.033963616,0.053472542,0.044505334,0.085155542,0.030524037,0.054914246,0.048296996
8,0.105524261,0.028631345,0.053449555,0.038184054,0.076798072,0.03055397,0.049092392,0.047327198
9,0.071341698,0.018093901,0.04593292,0.03209111,0.07469765,0.024164906,0.039293939,0.044110103
10,0.126680323,0.042011127,0.044798694,0.022981737,0.051935705,0.033119917,0.043671058,0.040258777
11,0.087504801,0.032663767,0.04705005,0.017770086,0.040748193,0.02894277,0.042755582,0.04050338
12,0.062315965,0.027065749,0.03948069,0.012177877,0.028189878,0.024979279,0.028351142,0.032527077
13,0.026629113,0.012328348,0.033143678,0.007326756,0.017731986,0.022935605,0.038650245,0.027516385
14,0.01817949,0.018960467,0.025808633,0.004799045,0.011220677,0.018825548,0.031340743,0.046018985
15,0.013186532,0.015338221,0.036739727,0.004422492,0.010347344,0.02751839,0.02393111,0.035566903
16,0.004608885,0.037712959,0.035725892,0.004001875,0.009518229,0.038411796,0.024918108,0.030327659
17,0.00307259,0.03091908,0.047315541,0.005371886,0.013464812,0.042512564,0.017837474,0.028392233
18,0.000768147,0.028354044,0.039220515,0.004202169,0.010800593,0.038749312,0.015720437,0.024225423
19,0.001472283,0.016048805,0.029966983,0.002748034,0.006953503,0.031396212,0.011658013,0.018116863
20,0.000608117,0.012726968,0.023418786,0.002167181,0.005604811,0.033052827,0.012630706,0.013063296
21,0.000512098,0.010029059,0.01756549,0.001366005,0.003360676,0.027467815,0.010756841,0.01152257
22,0.000512098,0.018047684,0.018206087,0.001181735,0.003040085,0.033646318,0.01264501,0.01249897
23,0.000640123,0.016799829,0.014173299,0.000725064,0.001779832,0.032233293,0.012773749,0.011028916
24,0.000768147,0.020156329,0.011782589,0.000620911,0.001691393,0.032276643,0.01367492,0.010210466
25,0.001504289,0.219946042,0.037806288,0.001566299,0.004068186,0.153661636,0.070777725,0.059082489
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
