year,vehicle_stock,percentage,adjusted_vehicle_ownership,vehicle
2000,4958252.695652174,0.5,0.20112912334298522,CAR
2001,4928979.695652174,0.5,0.19866556165994503,CAR
2002,4939456.695652174,0.5,0.1981144847825714,CAR
2003,5117550.695652174,0.5,0.20525891294749232,CAR
2004,5219825.695652174,0.5,0.20900149940812793,CAR
2005,5364396.695652174,0.5,0.21460471976686563,CAR
2006,5504627.695652174,0.5,0.21973890460551027,CAR
2007,5597559.695652174,0.5,0.22300351023200188,CAR
2008,5700429.695652174,0.5,0.22670734911345886,CAR
2009,5623353.695652174,0.5,0.22256227020571479,CAR
2010,5775052.695652174,0.5,0.22870473671106772,CAR
2011,5896593.695652174,0.5,0.23331966056159026,CAR
2012,6027246.695652174,0.5,0.23801353176503176,CAR
2013,6082888.695652174,0.5,0.23980658331743648,CAR
2014,6163323.695652174,0.5,0.24262263051728472,CAR
2015,6140998.695652174,0.5,0.24106997411613845,CAR
2016,6275172.695652174,0.5,0.24628093133223028,CAR
2017,6406555.695652174,0.5,0.2515265884198066,CAR
2018,6521979.695652174,0.5,0.25623096105416593,CAR
2019,6654701.695652174,0.5,0.2616999984075434,CAR
2020,6775969.695652174,0.5,0.26731213228033823,CAR
2021,6707976.695652174,0.5,0.2665295143608081,CAR
2022,6705616.695652174,0.5,0.26769602010451893,CAR
2023,6701759.695652174,0.025,0.26736933112078676,CAR
2023,6781678.695652174,0.5,0.2708024578478435,CAR
2023,6838954.695652174,0.975,0.2732628961025489,CAR
2024,6810526.695652174,0.025,0.2704093231063113,CAR
2024,6884221.695652174,0.5,0.273556108977202,CAR
2024,6954034.695652174,0.975,0.2765371214016485,CAR
2025,6863204.695652174,0.025,0.27313043459554853,CAR
2025,6943459.695652174,0.5,0.2765632410338488,CAR
2025,7007904.695652174,0.975,0.2793198319802607,CAR
2026,6915084.695652174,0.025,0.2758817307798756,CAR
2026,7000507.695652174,0.5,0.2795426693201577,CAR
2026,7073485.695652174,0.975,0.2826702398696411,CAR
2027,6959574.695652174,0.025,0.2784237222866938,CAR
2027,7046048.695652174,0.5,0.2821381791681178,CAR
2027,7118554.695652174,0.975,0.28525265566468827,CAR
2028,6996329.695652174,0.025,0.28070475148138785,CAR
2028,7098822.695652174,0.5,0.28511835487444326,CAR
2028,7172206.695652174,0.975,0.2882784521743432,CAR
2029,7037540.695652174,0.025,0.28325307319978804,CAR
2029,7145169.695652174,0.5,0.2879005077389267,CAR
2029,7231665.695652174,0.975,0.29163546136811147,CAR
2030,7074085.695652174,0.025,0.2856731617478731,CAR
2030,7189376.695652174,0.5,0.290666185977099,CAR
2030,7265023.695652174,0.975,0.2939422827444264,CAR
2031,7125272.695652174,0.025,0.2888015698867965,CAR
2031,7235559.695652174,0.5,0.2935930082074002,CAR
2031,7318581.695652174,0.975,0.2971998953078575,CAR
2032,7164777.695652174,0.025,0.29149937682769583,CAR
2032,7274134.695652174,0.5,0.29626641448809987,CAR
2032,7355860.695652174,0.975,0.2998290274810298,CAR
2033,7195758.695652174,0.025,0.2939085717988097,CAR
