year,vehicle_stock,percentage,adjusted_vehicle_ownership,vehicle
2000,12337631.55304348,0.0,0.5640366,SCOOTER
2000,12386726.55304348,0.025,0.5662405,SCOOTER
2000,12401550.55304348,0.05,0.5669059,SCOOTER
2000,12413857.55304348,0.075,0.5674584,SCOOTER
2000,12423965.55304348,0.1,0.56791216,SCOOTER
2000,12430897.55304348,0.125,0.5682233,SCOOTER
2000,12437296.55304348,0.15,0.5685106,SCOOTER
2000,12441940.55304348,0.175,0.568719,SCOOTER
2000,12448000.55304348,0.2,0.56899107,SCOOTER
2000,12453988.55304348,0.225,0.5692599,SCOOTER
2000,12465264.55304348,0.25,0.56976604,SCOOTER
2000,12473507.55304348,0.275,0.5701361,SCOOTER
2000,12480411.55304348,0.3,0.570446,SCOOTER
2000,12491044.55304348,0.325,0.5709233,SCOOTER
2000,12502624.55304348,0.35,0.57144314,SCOOTER
2000,12516181.55304348,0.375,0.5720517,SCOOTER
2000,12526834.55304348,0.4,0.5725299,SCOOTER
2000,12535914.55304348,0.425,0.57293755,SCOOTER
2000,12542208.55304348,0.45,0.5732201,SCOOTER
2000,12550018.55304348,0.475,0.57357067,SCOOTER
2000,12556653.55304348,0.5,0.5738685,SCOOTER
2000,12562798.55304348,0.525,0.57414436,SCOOTER
2000,12568512.55304348,0.55,0.57440084,SCOOTER
2000,12574890.55304348,0.575,0.5746872,SCOOTER
2000,12579793.55304348,0.6,0.57490724,SCOOTER
2000,12587230.55304348,0.625,0.5752411,SCOOTER
2000,12590946.55304348,0.65,0.5754079,SCOOTER
2000,12598638.55304348,0.675,0.5757532,SCOOTER
2000,12602089.55304348,0.7,0.5759081,SCOOTER
2000,12607605.55304348,0.725,0.5761557,SCOOTER
2000,12612497.55304348,0.75,0.57637537,SCOOTER
2000,12620209.55304348,0.775,0.57672155,SCOOTER
2000,12632922.55304348,0.8,0.5772922,SCOOTER
2000,12639017.55304348,0.825,0.57756585,SCOOTER
2000,12648542.55304348,0.85,0.5779934,SCOOTER
2000,12656984.55304348,0.875,0.57837236,SCOOTER
2000,12665110.55304348,0.9,0.57873714,SCOOTER
2000,12679435.55304348,0.925,0.5793802,SCOOTER
2000,12691096.55304348,0.95,0.57990366,SCOOTER
2000,12712237.55304348,0.975,0.5808527,SCOOTER
2000,12800602.55304348,1.0,0.5848194,SCOOTER
2001,12237895.55304348,0.0,0.5563404,SCOOTER
2001,12300152.55304348,0.025,0.55911905,SCOOTER
2001,12319984.55304348,0.05,0.5600042,SCOOTER
2001,12333539.55304348,0.075,0.56060916,SCOOTER
2001,12341356.55304348,0.1,0.560958,SCOOTER
2001,12352014.55304348,0.125,0.56143373,SCOOTER
2001,12363157.55304348,0.15,0.5619311,SCOOTER
2001,12369334.55304348,0.175,0.56220675,SCOOTER
2001,12376492.55304348,0.2,0.5625262,SCOOTER
2001,12386169.55304348,0.225,0.5629581,SCOOTER
2001,12396526.55304348,0.25,0.56342036,SCOOTER
2001,12403709.55304348,0.275,0.56374097,SCOOTER
2001,12416921.55304348,0.3,0.56433064,SCOOTER
2001,12430738.55304348,0.325,0.5649473,SCOOTER
2001,12449158.55304348,0.35,0.56576943,SCOOTER
2001,12472733.55304348,0.375,0.56682163,SCOOTER
2001,12481240.55304348,0.4,0.5672013,SCOOTER
2001,12488251.55304348,0.425,0.56751424,SCOOTER
