year,vehicle_stock,percentage,adjusted_vehicle_ownership,vehicle
2000,832100.5127501478,0.5,0.03731436634702019,TRUCK
2001,838317.9509864745,0.5,0.037377197410783505,TRUCK
2002,861533.2146156395,0.5,0.038216827069631115,TRUCK
2003,877874.605289433,0.5,0.0387981177479619,TRUCK
2004,902631.8565012399,0.5,0.03974465136868227,TRUCK
2005,922498.191858729,0.5,0.040475277869019076,TRUCK
2006,945315.645082031,0.5,0.04128489575066575,TRUCK
2007,968627.3350974532,0.5,0.04215312950697316,TRUCK
2008,976945.0564901121,0.5,0.04237023615327736,TRUCK
2009,977987.9578457846,0.5,0.0422637102604664,TRUCK
2010,1007042.8851586939,0.5,0.043440848337130106,TRUCK
2011,1021518.7916309482,0.5,0.04394669736019699,TRUCK
2012,1034214.9397116188,0.5,0.04431987544603309,TRUCK
2013,1044542.8408032308,0.5,0.04465233999887522,TRUCK
2014,1061539.1284339074,0.5,0.04526285293201505,TRUCK
2015,1069678.6353273753,0.5,0.0454969630428388,TRUCK
2016,1078972.9296474499,0.5,0.045799521835587366,TRUCK
2017,1089872.3616305706,0.5,0.04620089352500952,TRUCK
2018,1098269.7679560008,0.5,0.04652220605859815,TRUCK
2019,1107318.740735654,0.5,0.04687761961589372,TRUCK
2020,1114441.3925967661,0.5,0.047263258168927354,TRUCK
2021,1121748.4843545593,0.5,0.04795177817097209,TRUCK
2022,1121278.77549618,0.5,0.04815970342745209,TRUCK
2023,1059042.5922351799,0.025,0.04545720405363161,TRUCK
2023,1125329.975817767,0.5,0.04830476636343417,TRUCK
2023,1138002.8897502094,0.975,0.048849167275327676,TRUCK
2024,1076832.5595577438,0.025,0.045944072257733615,TRUCK
2024,1142765.5120480857,0.5,0.04875941362640828,TRUCK
2024,1152227.5653202678,0.975,0.049163443917842296,TRUCK
2025,1070328.8804576052,0.025,0.04574537500142178,TRUCK
2025,1145595.0943286296,0.5,0.048964807762944096,TRUCK
2025,1156931.4905328676,0.975,0.04944971013095827,TRUCK
2026,1065903.2705906164,0.025,0.045644122609211635,TRUCK
2026,1149663.4215567086,0.5,0.04923379910931817,TRUCK
2026,1160533.4447513535,0.975,0.04969965150293701,TRUCK
2027,1054149.7347752939,0.025,0.045243641524287594,TRUCK
2027,1150415.5593513008,0.5,0.04937870412683401,TRUCK
2027,1164192.6554429648,0.975,0.04997049415274656,TRUCK
2028,1043202.6213175458,0.025,0.04488570383001793,TRUCK
2028,1151635.7863904652,0.5,0.04955509150969322,TRUCK
2028,1169285.3319243805,0.975,0.05031512254274949,TRUCK
2029,1048611.355715456,0.025,0.04524219130547023,TRUCK
2029,1152061.2116517082,0.5,0.049709187109780915,TRUCK
2029,1176339.6879635367,0.975,0.050757538998127905,TRUCK
2030,1029840.5501980488,0.025,0.04456301699188955,TRUCK
2030,1152771.9218545246,0.5,0.04988692332338594,TRUCK
2030,1176594.03872551,0.975,0.050918610492658695,TRUCK
2031,1018341.2201115397,0.025,0.04420453615227951,TRUCK
2031,1149652.3756173565,0.5,0.04990936106860391,TRUCK
2031,1178939.6190968438,0.975,0.05118174798568375,TRUCK
2032,1017991.1251751313,0.025,0.04433861797937793,TRUCK
2032,1154310.5634036323,0.5,0.050281036794800366,TRUCK
2032,1184978.5988231762,0.975,0.051617913714757026,TRUCK
2033,972069.0045575459,0.025,0.04248983893978115,TRUCK
2033,1148318.1807227004,0.5,0.050200644542054515,TRUCK
2033,1185721.5033631658,0.975,0.05183701956538787,TRUCK
2034,987516.7977566902,0.025,0.043346996496014874,TRUCK
2034,1151985.1661772598,0.5,0.05057262371851234,TRUCK
2034,1190065.6129636096,0.975,0.05224562087648684,TRUCK
2035,952974.2149049637,0.025,0.04201036200295021,TRUCK
2035,1145591.4698312439,0.5,0.05050926443344857,TRUCK
2035,1191707.9515960054,0.975,0.0525440742385544,TRUCK
2036,945612.2822728142,0.025,0.04185917916999978,TRUCK
2036,1145450.167833712,0.5,0.050713410526765035,TRUCK
2036,1194188.269106983,0.975,0.0528728530336339,TRUCK
2037,897758.3239053936,0.025,0.039936877004642546,TRUCK
2037,1135862.3791861753,0.5,0.05053912545703593,TRUCK
2037,1195665.9884263673,0.975,0.05320204828196078,TRUCK
2038,890139.2248474917,0.025,0.03980040741674691,TRUCK
2038,1138697.23735396,0.5,0.05092482897583293,TRUCK
2038,1194184.9107938723,0.975,0.053408226169324814,TRUCK
2039,874144.3723285035,0.025,0.039303050725000746,TRUCK
2039,1132955.1284665402,0.5,0.050951100016076126,TRUCK
2039,1193824.530220489,0.975,0.05369059122783286,TRUCK
2040,853153.2629500873,0.025,0.038586586466134803,TRUCK
2040,1129374.3423678963,0.5,0.05109218364829861,TRUCK
2040,1202251.1531935483,0.975,0.0543915988921578,TRUCK
2041,823752.6817728158,0.025,0.03749070669014304,TRUCK
2041,1116540.2525611264,0.5,0.05083001733871394,TRUCK
2041,1198791.1767337178,0.975,0.05457734385847087,TRUCK
2042,801254.1210378475,0.025,0.036706711195459166,TRUCK
2042,1109119.095453104,0.5,0.05082565467268497,TRUCK
2042,1196014.570623312,0.975,0.054810753350068145,TRUCK
2043,799129.8949084969,0.025,0.03686310995584504,TRUCK
2043,1099691.5525852796,0.5,0.05074268378272171,TRUCK
2043,1194448.8513911178,0.975,0.05511846123410032,TRUCK
2044,751599.710108138,0.025,0.03491988252601364,TRUCK
2044,1105909.3522112505,0.5,0.051400243178081964,TRUCK
2044,1200735.074662764,0.975,0.055810967356565024,TRUCK
2045,731009.6005549089,0.025,0.03421898785071549,TRUCK
2045,1093953.088349034,0.5,0.05122861055341448,TRUCK
2045,1199145.3122177306,0.975,0.05615852416100983,TRUCK
2046,698595.4930955624,0.025,0.032957595861722075,TRUCK
2046,1083300.0562199098,0.5,0.05112916485556178,TRUCK
2046,1197089.529542359,0.975,0.05650402510795556,TRUCK
2047,667781.4464995028,0.025,0.031761648383759875,TRUCK
2047,1082924.548785653,0.5,0.0515325545790571,TRUCK
2047,1192960.937759184,0.975,0.05677296231432854,TRUCK
2048,689154.855556318,0.025,0.03306093781770994,TRUCK
2048,1065998.31463914,0.5,0.05116191468618716,TRUCK
2048,1195615.9589564975,0.975,0.05738785791270699,TRUCK
2049,571701.5169225907,0.025,0.027663282317240117,TRUCK
2049,1061031.2509396793,0.5,0.05137648590756291,TRUCK
2049,1195863.5041360406,0.975,0.057910535339506096,TRUCK
